Wavenumber	874.3768121211048-40C-874.3768121211048-20C	874.3768121211048-45C-874.3768121211048-20C	874.3768121211048-45C-874.3768121211048-40C	874.3768121211048-50C-874.3768121211048-20C	874.3768121211048-50C-874.3768121211048-40C	874.3768121211048-50C-874.3768121211048-45C
1.999839949999999953e+04	2.242746045552220196e-04	3.221741150797485689e-04	9.789951052452654928e-05	4.437274608974413489e-04	2.194528563422193292e-04	1.215533458176927799e-04
1.998799624000000040e+04	2.323577198268414012e-04	3.335804250782598511e-04	1.012227052514184499e-04	4.591277526986134905e-04	2.267700328717720893e-04	1.255473276203536393e-04
1.997760411999999997e+04	2.406871724831776511e-04	3.453271260969215150e-04	1.046399536137438639e-04	4.749770086359356245e-04	2.342898361527579734e-04	1.296498825390141095e-04
1.996722313999999824e+04	2.492687107774700563e-04	3.574219328338485964e-04	1.081532220563785401e-04	4.912850776751189917e-04	2.420163668976489353e-04	1.338631448412703952e-04
1.995685327999999936e+04	2.581081709673469990e-04	3.698726723486525951e-04	1.117645013813055961e-04	5.080619442977296098e-04	2.499537733303826108e-04	1.381892719490770147e-04
1.994649451000000045e+04	2.672114696800920197e-04	3.826872731335452852e-04	1.154758034534532655e-04	5.253177135552643262e-04	2.581062438751723608e-04	1.426304404217190952e-04
1.993614682000000175e+04	2.765845763417322804e-04	3.958737261862075034e-04	1.192891498444752230e-04	5.430625585181362257e-04	2.664779821764039994e-04	1.471888323319287765e-04
1.992581019999999990e+04	2.862335279481584933e-04	4.094401057378212324e-04	1.232065777896627391e-04	5.613067481288689905e-04	2.750732201807104971e-04	1.518666423910477580e-04
1.991548461999999927e+04	2.961644469818806185e-04	4.233945943247385715e-04	1.272301473428579530e-04	5.800606807804115084e-04	2.838962337985309441e-04	1.566660864556729911e-04
1.990517007000000012e+04	3.063835024184028582e-04	4.377454278737256716e-04	1.313619254553228134e-04	5.993348103706293024e-04	2.929513079522264984e-04	1.615893824969036850e-04
1.989486652999999933e+04	3.168969361205670188e-04	4.525009327264547685e-04	1.356039966058877498e-04	6.191396960032719389e-04	3.022427598827049202e-04	1.666387632768171704e-04
1.988457398000000103e+04	3.277110518046645691e-04	4.676695100480438233e-04	1.399584582433792542e-04	6.394859809416910150e-04	3.117749291370264459e-04	1.718164708936471916e-04
1.987429239999999845e+04	3.388322131008547362e-04	4.832596330349813027e-04	1.444274199341265665e-04	6.603843887935354233e-04	3.215521756926806871e-04	1.771247557585541206e-04
1.986402178999999887e+04	3.502668189232095285e-04	4.992798123511561119e-04	1.490129934279465834e-04	6.818456771581394996e-04	3.315788582349299711e-04	1.825658648069833877e-04
1.985376210999999967e+04	3.620213677799477949e-04	5.157386861821572788e-04	1.537173184022094840e-04	7.038807582325171813e-04	3.418593904525693864e-04	1.881420720503599025e-04
