Wavenumber	17277.150453038626-40C-17289.8119463758-20C	17271.260566842393-45C-17289.8119463758-20C	17271.260566842393-45C-17277.150453038626-40C	17262.46575968384-50C-17289.8119463758-20C	17262.46575968384-50C-17277.150453038626-40C	17262.46575968384-50C-17271.260566842393-45C
1.999839949999999953e+04	9.299639917011382146e-05	9.358060564273123312e-05	5.842064726174116610e-07	1.162695111479145299e-04	2.327311197780070843e-05	2.268890550518329677e-05
1.998799624000000040e+04	9.675921635539413068e-05	9.736528208622387314e-05	6.060657308297424592e-07	1.209580509099898770e-04	2.419883455459574629e-05	2.359276882376600383e-05
1.997760411999999997e+04	1.006552133978671441e-04	1.012838244197252218e-04	6.286110218580776877e-07	1.258118148862019518e-04	2.515660148833480771e-05	2.452799046647673002e-05
1.996722313999999824e+04	1.046882885368808280e-04	1.053401468580720266e-04	6.518583211911985892e-07	1.308356088604519006e-04	2.614732032357107265e-05	2.549546200237987406e-05
1.995685327999999936e+04	1.088624302179335866e-04	1.095382540179599398e-04	6.758238000263531997e-07	1.360343486985657281e-04	2.717191848063214149e-05	2.649609468060578829e-05
1.994649451000000045e+04	1.131817148584153142e-04	1.138822386585756409e-04	7.005238001603266568e-07	1.414130574901577178e-04	2.823134263174240360e-05	2.753081883158207694e-05
1.993614682000000175e+04	1.176502950074321792e-04	1.183762697618246469e-04	7.259747543924676555e-07	1.469768507332681710e-04	2.932655572583599182e-05	2.860058097144352416e-05
1.992581019999999990e+04	1.222724074830667499e-04	1.230246007045417253e-04	7.521932214749754708e-07	1.527309464000273123e-04	3.045853891696056245e-05	2.970634569548558698e-05
1.991548461999999927e+04	1.270523832517341163e-04	1.278315791812788542e-04	7.791959295447379447e-07	1.586806771611203276e-04	3.162829390938621133e-05	3.084909797984147339e-05
1.990517007000000012e+04	1.319946299910750649e-04	1.328016296556858177e-04	8.069996646107528010e-07	1.648314686050753107e-04	3.283683861400024575e-05	3.202983894938949295e-05
1.989486652999999933e+04	1.371036459877904594e-04	1.379392673242302520e-04	8.356213364397926252e-07	1.711888564652126223e-04	3.408521047742216290e-05	3.324958914098237028e-05
1.988457398000000103e+04	1.423840161083405297e-04	1.432490940508053621e-04	8.650779424648324251e-07	1.777584815280226164e-04	3.537446541968208673e-05	3.450938747721725430e-05
