Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.999839949999999953e+04	4.530813349252133578e-04	5.928644446182593317e-04	1.397831096930459739e-04	8.435138852461600669e-04	3.904325503209467091e-04	2.506494406279007351e-04
1.998799624000000040e+04	4.699120170734103494e-04	6.143454837898559145e-04	1.444334667164455651e-04	8.733289490420081047e-04	4.034169319685977553e-04	2.589834652521521901e-04
1.997760411999999997e+04	4.872813730310340125e-04	6.364934718513450169e-04	1.492120988203110045e-04	9.040434085147428574e-04	4.167620354837088450e-04	2.675499366633978405e-04
1.996722313999999824e+04	5.052032328055019485e-04	6.593248160143264005e-04	1.541215832088245604e-04	9.356785576632236593e-04	4.304753248577218193e-04	2.763537416488972588e-04
1.995685327999999936e+04	5.236916948222016845e-04	6.828562213394947155e-04	1.591645265172930311e-04	9.682560566672593393e-04	4.445643618450576548e-04	2.853998353277646238e-04
1.994649451000000045e+04	5.427611128367649997e-04	7.071046730080323989e-04	1.643435601712675076e-04	1.001797906437366589e-03	4.590367936006016980e-04	2.946932334293341903e-04
1.993614682000000175e+04	5.624260409158762493e-04	7.320873654428615993e-04	1.696613245269853500e-04	1.036326349872213840e-03	4.739003089563374824e-04	3.042389844293521325e-04
1.992581019999999990e+04	5.827012669904682845e-04	7.578217441870202693e-04	1.751204771965519848e-04	1.071863929262690173e-03	4.891626622722218889e-04	3.140421850756699041e-04
1.991548461999999927e+04	6.036018533908183489e-04	7.843255563979574345e-04	1.807237030071390856e-04	1.108433555294138393e-03	5.048317019033200445e-04	3.241079988961809589e-04
1.990517007000000012e+04	6.251430577560305232e-04	8.116167495732615634e-04	1.864736918172310402e-04	1.146058366560871429e-03	5.209153088048409062e-04	3.344416169876098660e-04
1.989486652999999933e+04	6.473403913981885371e-04	8.397135447349068828e-04	1.923731533367183458e-04	1.184761830000492702e-03	5.374214386023041645e-04	3.450482852655858187e-04
1.988457398000000103e+04	6.702095990608652109e-04	8.686344098478132039e-04	1.984248107869479930e-04	1.224567703574954564e-03	5.543581045140894611e-04	3.559332937271414681e-04
1.987429239999999845e+04	6.937666578091353535e-04	8.983980575402494883e-04	2.046313997311141348e-04	1.265500032545809062e-03	5.717333747366735996e-04	3.671019750055594649e-04
1.986402178999999887e+04	7.180277277747564631e-04	9.290233820848608874e-04	2.109956543101044243e-04	1.307583062339812098e-03	5.895553345650556346e-04	3.785596802549512103e-04
1.985376210999999967e+04	7.430092916347278559e-04	9.605296346362542526e-04	2.175203430015263967e-04	1.350841478836251226e-03	6.078321872015233704e-04	3.903118441999969736e-04
1.984351335000000108e+04	7.687279893655409643e-04	9.929362137201631303e-04	2.242082243546221661e-04	1.395300119864315447e-03	6.265721304987744832e-04	4.023639061441523172e-04
1.983327549999999974e+04	7.952006839029191355e-04	1.026262747408705463e-03	2.310620635057863276e-04	1.440984087780140767e-03	6.457834038772216310e-04	4.147213403714353035e-04
1.982304853000000003e+04	8.224445129864469154e-04	1.060529157675850400e-03	2.380846446894033762e-04	1.487918837100748928e-03	6.654743241143021206e-04	4.273896794248987444e-04
1.981283242999999857e+04	8.504767834414056829e-04	1.095755526488379492e-03	2.452787430469738090e-04	1.536129990479701522e-03	6.856532070382958394e-04	4.403744639913220304e-04
1.980262718999999925e+04	8.793150179859394316e-04	1.131962154022471889e-03	2.526471360365324572e-04	1.585643418192325682e-03	7.063284002063862504e-04	4.536812641698537932e-04
1.979243277999999918e+04	9.089770114353149834e-04	1.169169628341307872e-03	2.601926169059928882e-04	1.636485332894050890e-03	7.275083214587359064e-04	4.673157045527430182e-04
