Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.999839949999999953e+04	1.217999999999999985e-02	1.333000000000000157e-02	1.150000000000001715e-03	1.595000000000000237e-02	3.770000000000002516e-03	2.620000000000000800e-03
1.998799624000000040e+04	1.207000000000000087e-02	1.316999999999999768e-02	1.099999999999996814e-03	1.568999999999999909e-02	3.619999999999998219e-03	2.520000000000001406e-03
1.997760411999999997e+04	1.172000000000000125e-02	1.279999999999999888e-02	1.079999999999997629e-03	1.505000000000000088e-02	3.329999999999999627e-03	2.250000000000001998e-03
1.996722313999999824e+04	1.117000000000000111e-02	1.231999999999999935e-02	1.149999999999998246e-03	1.413000000000000193e-02	2.960000000000000825e-03	1.810000000000002579e-03
1.995685327999999936e+04	1.049000000000000106e-02	1.183000000000000197e-02	1.340000000000000913e-03	1.305000000000000084e-02	2.559999999999999776e-03	1.219999999999998863e-03
1.994649451000000045e+04	9.749999999999998251e-03	1.138000000000000123e-02	1.630000000000002974e-03	1.198000000000000106e-02	2.230000000000002813e-03	5.999999999999998390e-04
1.993614682000000175e+04	9.080000000000001265e-03	1.103000000000000161e-02	1.950000000000000344e-03	1.111000000000000182e-02	2.030000000000000554e-03	8.000000000000020983e-05
1.992581019999999990e+04	8.500000000000000611e-03	1.074999999999999914e-02	2.249999999999998529e-03	1.054000000000000076e-02	2.040000000000000147e-03	-2.099999999999983824e-04
1.991548461999999927e+04	8.040000000000000271e-03	1.049000000000000106e-02	2.450000000000000788e-03	1.037999999999999860e-02	2.339999999999998331e-03	-1.100000000000024569e-04
1.990517007000000012e+04	7.740000000000000352e-03	1.022999999999999951e-02	2.489999999999999158e-03	1.063000000000000056e-02	2.890000000000000208e-03	4.000000000000010492e-04
1.989486652999999933e+04	7.549999999999999420e-03	9.890000000000001221e-03	2.340000000000001801e-03	1.122999999999999866e-02	3.679999999999999244e-03	1.339999999999997443e-03
1.988457398000000103e+04	7.439999999999998698e-03	9.469999999999999252e-03	2.030000000000000554e-03	1.204999999999999821e-02	4.609999999999999515e-03	2.579999999999998961e-03
1.987429239999999845e+04	7.370000000000001550e-03	8.990000000000001462e-03	1.619999999999999912e-03	1.292000000000000093e-02	5.549999999999999378e-03	3.929999999999999466e-03
1.986402178999999887e+04	7.320000000000000118e-03	8.500000000000000611e-03	1.180000000000000493e-03	1.370000000000000037e-02	6.380000000000000254e-03	5.199999999999999761e-03
1.985376210999999967e+04	7.280000000000001747e-03	8.060000000000001191e-03	7.799999999999994438e-04	1.423999999999999919e-02	6.959999999999997439e-03	6.179999999999997995e-03
1.984351335000000108e+04	7.260000000000000828e-03	7.749999999999998210e-03	4.899999999999973821e-04	1.447999999999999808e-02	7.219999999999997253e-03	6.729999999999999871e-03
1.983327549999999974e+04	7.260000000000000828e-03	7.600000000000000852e-03	3.400000000000000244e-04	1.440999999999999746e-02	7.149999999999996636e-03	6.809999999999996612e-03
1.982304853000000003e+04	7.300000000000000933e-03	7.640000000000000957e-03	3.400000000000000244e-04	1.406999999999999917e-02	6.769999999999998241e-03	6.429999999999998217e-03
1.981283242999999857e+04	7.380000000000001142e-03	7.839999999999999747e-03	4.599999999999986044e-04	1.355999999999999914e-02	6.179999999999997995e-03	5.719999999999999390e-03
1.980262718999999925e+04	7.539999999999999827e-03	8.180000000000001506e-03	6.400000000000016787e-04	1.304000000000000124e-02	5.500000000000001416e-03	4.859999999999999737e-03
1.979243277999999918e+04	7.709999999999998105e-03	8.559999999999998166e-03	8.500000000000000611e-04	1.259000000000000050e-02	4.880000000000002391e-03	4.030000000000002330e-03
1.978224918999999863e+04	7.899999999999999037e-03	8.950000000000001357e-03	1.050000000000002320e-03	1.231999999999999935e-02	4.420000000000000318e-03	3.369999999999997997e-03
1.977207640000000174e+04	8.070000000000000784e-03	9.289999999999999647e-03	1.219999999999998863e-03	1.224000000000000088e-02	4.170000000000000095e-03	2.950000000000001232e-03
1.976191439000000173e+04	8.210000000000000284e-03	9.570000000000000381e-03	1.360000000000000098e-03	1.234999999999999813e-02	4.139999999999997848e-03	2.779999999999997751e-03
1.975176314999999886e+04	8.290000000000002228e-03	9.780000000000000498e-03	1.489999999999998270e-03	1.259000000000000050e-02	4.299999999999998268e-03	2.809999999999999998e-03
1.974162266000000091e+04	8.309999999999997944e-03	9.929999999999997856e-03	1.619999999999999912e-03	1.286999999999999950e-02	4.560000000000001552e-03	2.940000000000001640e-03
1.973149290000000110e+04	8.289999999999998759e-03	1.004000000000000031e-02	1.750000000000001554e-03	1.310000000000000053e-02	4.810000000000001774e-03	3.060000000000000220e-03
1.972137385999999969e+04	8.250000000000000389e-03	1.007999999999999868e-02	1.829999999999998295e-03	1.322999999999999871e-02	4.979999999999998317e-03	3.150000000000000022e-03
1.971126551000000109e+04	8.200000000000000691e-03	1.005999999999999950e-02	1.859999999999998807e-03	1.320999999999999952e-02	5.009999999999998829e-03	3.150000000000000022e-03
1.970116785000000164e+04	8.160000000000000586e-03	9.940000000000000918e-03	1.780000000000000332e-03	1.304999999999999910e-02	4.889999999999998515e-03	3.109999999999998183e-03
1.969108084999999846e+04	8.129999999999998339e-03	9.680000000000001104e-03	1.550000000000001030e-03	1.277999999999999969e-02	4.649999999999999620e-03	3.099999999999998590e-03
1.968100449999999910e+04	8.089999999999999969e-03	9.239999999999998215e-03	1.149999999999999981e-03	1.244999999999999926e-02	4.360000000000001028e-03	3.210000000000001047e-03
1.967093878000000041e+04	8.019999999999999352e-03	8.619999999999999191e-03	5.999999999999998390e-04	1.209999999999999964e-02	4.080000000000000293e-03	3.480000000000000454e-03
1.966088366999999926e+04	7.929999999999999549e-03	7.839999999999999747e-03	-8.999999999999980238e-05	1.179999999999999973e-02	3.870000000000000176e-03	3.959999999999999978e-03
1.965083915999999954e+04	7.770000000000000864e-03	6.959999999999999173e-03	-8.100000000000016909e-04	1.153000000000000032e-02	3.759999999999999454e-03	4.570000000000001145e-03
1.964080523000000176e+04	7.550000000000001155e-03	6.049999999999999822e-03	-1.500000000000001332e-03	1.132000000000000194e-02	3.770000000000000781e-03	5.270000000000002113e-03
