wavenumber	20°C	40°C	45°C	50°C
19998,3995	0,00862	0,0208	0,02195	0,02457
19987,99624	0,00867	0,02074	0,02184	0,02436
19977,60412	0,00893	0,02065	0,02173	0,02398
19967,22314	0,00934	0,02051	0,02166	0,02347
19956,85328	0,00985	0,02034	0,02168	0,0229
19946,49451	0,01038	0,02013	0,02176	0,02236
19936,14682	0,01083	0,01991	0,02186	0,02194
19925,8102	0,01117	0,01967	0,02192	0,02171
19915,48462	0,01137	0,01941	0,02186	0,02175
19905,17007	0,01142	0,01916	0,02165	0,02205
19894,86653	0,01136	0,01891	0,02125	0,02259
19884,57398	0,01123	0,01867	0,0207	0,02328
19874,2924	0,01107	0,01844	0,02006	0,02399
19864,02179	0,0109	0,01822	0,0194	0,0246
19853,76211	0,01074	0,01802	0,0188	0,02498
19843,51335	0,01058	0,01784	0,01833	0,02506
19833,2755	0,01041	0,01767	0,01801	0,02482
19823,04853	0,01021	0,01751	0,01785	0,02428
19812,83243	0,00997	0,01735	0,01781	0,02353
19802,62719	0,00967	0,01721	0,01785	0,02271
19792,43278	0,00935	0,01706	0,01791	0,02194
19782,24919	0,009	0,0169	0,01795	0,02132
19772,0764	0,00867	0,01674	0,01796	0,02091
19761,91439	0,00837	0,01658	0,01794	0,02072
19751,76315	0,00811	0,0164	0,01789	0,0207
19741,62266	0,0079	0,01621	0,01783	0,02077
19731,4929	0,00772	0,01601	0,01776	0,02082
19721,37386	0,00756	0,01581	0,01764	0,02079
19711,26551	0,00741	0,01561	0,01747	0,02062
19701,16785	0,00725	0,01541	0,01719	0,0203
19691,08085	0,00709	0,01522	0,01677	0,01987
19681,0045	0,00696	0,01505	0,0162	0,01941
19670,93878	0,00688	0,0149	0,0155	0,01898
19660,88367	0,00686	0,01479	0,0147	0,01866
19650,83916	0,00694	0,01471	0,0139	0,01847
19640,80523	0,00712	0,01467	0,01317	0,01844
19630,78187	0,00738	0,01468	0,0126	0,01851
19620,76905	0,00769	0,01474	0,01227	0,01863
19610,76676	0,008	0,01485	0,0122	0,01873
19600,77498	0,00829	0,01501	0,01241	0,01877
19590,79371	0,00849	0,01522	0,01287	0,01872
19580,82291	0,00861	0,01547	0,01352	0,01857
19570,86258	0,00862	0,01577	0,0143	0,01837
19560,91269	0,00856	0,0161	0,01517	0,01819
19550,97324	0,00844	0,01645	0,01608	0,01809
19541,0442	0,0083	0,01682	0,017	0,01815
19531,12556	0,00819	0,01721	0,0179	0,0184
19521,2173	0,00812	0,01759	0,01877	0,01887
19511,31941	0,00811	0,01797	0,01958	0,01953
