fwhm	874.3768121211048-20°C	874.3768121211048-40°C	874.3768121211048-45°C	874.3768121211048-50°C
1.999839949999999953e+04	3.240710396282075025e-04	5.458169644061404164e-04	6.423385294658366272e-04	7.620360044500254244e-04
1.998799624000000040e+04	3.384630257804150224e-04	5.681883094098815748e-04	6.679807237873099102e-04	7.916044999878969020e-04
1.997760411999999997e+04	3.534297103284166856e-04	5.913768948853924705e-04	6.945324639089823929e-04	8.221889607388971387e-04
1.996722313999999824e+04	3.689910891214947890e-04	6.154083457293110793e-04	7.220212922435145352e-04	8.538190067735920144e-04
1.995685327999999936e+04	3.851677607515786557e-04	6.403089743801102570e-04	7.504754619599563045e-04	8.865249908506456439e-04
1.994649451000000045e+04	4.019809278745832353e-04	6.661057745333007294e-04	7.799239274336434123e-04	9.203379848937709440e-04
1.993614682000000175e+04	4.194523608388865026e-04	6.928263574937212682e-04	8.103962694025906334e-04	9.552896917364581608e-04
1.992581019999999990e+04	4.376044388838412364e-04	7.204990078862393921e-04	8.419227565186494225e-04	9.914125136542065175e-04
1.991548461999999927e+04	4.564601992459967126e-04	7.491527503686856975e-04	8.745344190757722933e-04	1.028739634427049609e-03
1.990517007000000012e+04	4.760432790185142350e-04	7.788172529456513027e-04	9.082629366382512920e-04	1.067304888245041578e-03
1.989486652999999933e+04	4.963779803474240027e-04	8.095229181355910117e-04	9.431407396421117445e-04	1.107142873741452432e-03
1.988457398000000103e+04	5.174892654705420250e-04	8.413008670491553586e-04	9.792009889662671180e-04	1.148288928179983740e-03
1.987429239999999845e+04	5.394027690162130377e-04	8.741829496999496902e-04	1.016477585380950099e-03	1.190779135873648586e-03
1.986402178999999887e+04	5.621447652020190346e-04	9.082016878380148178e-04	1.055005102589581930e-03	1.234650249624874270e-03
1.985376210999999967e+04	5.857423121078642828e-04	9.433904825691271333e-04	1.094819020136895971e-03	1.279939953613303677e-03
1.984351335000000108e+04	6.102231111116290276e-04	9.797833954119301077e-04	1.135955473066457442e-03	1.326686575834117249e-03
1.983327549999999974e+04	6.356155817089884520e-04	1.017415252191472812e-03	1.178451367452108952e-03	1.374929217460712410e-03
1.982304853000000003e+04	6.619489260614330349e-04	1.056321729942050420e-03	1.222344476133788637e-03	1.424707859014958007e-03
1.981283242999999857e+04	6.892530420883019419e-04	1.096539219548879184e-03	1.267673281295160752e-03	1.476063179259068424e-03
1.980262718999999925e+04	7.175585823906132504e-04	1.138104904799643871e-03	1.314477061541474050e-03	1.529036651799740160e-03
1.979243277999999918e+04	7.468970248809330900e-04	1.181056857188623457e-03	1.362795996225134917e-03	1.583670660637178339e-03
1.978224918999999863e+04	7.773005740564159841e-04	1.225433882264294339e-03	1.412670990107246175e-03	1.640008299314224755e-03
1.977207640000000174e+04	8.088022569138218808e-04	1.271275651648632286e-03	1.464143819655658882e-03	1.698093534064828731e-03
1.976191439000000173e+04	8.414359079222950410e-04	1.318622672045041775e-03	1.517257095773520128e-03	1.757971159182964219e-03
1.975176314999999886e+04	8.752361472609326625e-04	1.367516245153910671e-03	1.572054216585408058e-03	1.819686741494110300e-03
1.974162266000000091e+04	9.102384569694581045e-04	1.417998569389701362e-03	1.628579479221443568e-03	1.883286743992967568e-03
1.973149290000000110e+04	9.464791625219287109e-04	1.470112704077583326e-03	1.686878037244726562e-03	1.948818475367584437e-03
1.972137385999999969e+04	9.839954069777198491e-04	1.523902523739028431e-03	1.746995847276682726e-03	2.016330027723143865e-03
1.971126551000000109e+04	1.022825273264101878e-03	1.579412884720640805e-03	1.808979852947197303e-03	2.085870480823725105e-03
1.970116785000000164e+04	1.063007606956865338e-03	1.636689362700833759e-03	1.872877689358302435e-03	2.157489568020214913e-03
1.969108084999999846e+04	1.104582258247374443e-03	1.695778589770930225e-03	1.938738057171286115e-03	2.231238093587601615e-03
1.968100449999999910e+04	1.147589897658940093e-03	1.756727982557663081e-03	2.006610416872646897e-03	2.307167587548358215e-03
1.967093878000000041e+04	1.192072147318013224e-03	1.819585920398417069e-03	2.076545185225711024e-03	2.385330523490554033e-03
1.966088366999999926e+04	1.238071552966419926e-03	1.884401696457738227e-03	2.148593678413129784e-03	2.465780252467139957e-03
1.965083915999999954e+04	1.285631546740755721e-03	1.951225456816855618e-03	2.222808042167670993e-03	2.548570922786604943e-03
1.964080523000000176e+04	1.334796549255193266e-03	2.020108335585391133e-03	2.299241399720620364e-03	2.633757642927068380e-03
1.963078186999999889e+04	1.385611885185434201e-03	2.091102327623780600e-03	2.377947708231663466e-03	2.721396319113756311e-03
1.962076904999999897e+04	1.438123944791064529e-03	2.164260505661448793e-03	2.458981997317806738e-03	2.811543918697696157e-03
1.961076675999999861e+04	1.492379991181350162e-03	2.239636742392073308e-03	2.542400058763476071e-03	2.904258122403309116e-03
1.960077497999999832e+04	1.548428323130782895e-03	2.317285929208144982e-03	2.628258686799164485e-03	2.999597589597570533e-03
1.959079371000000174e+04	1.606318117025820917e-03	2.397263748703597989e-03	2.716615424388880290e-03	3.097621674332802760e-03
1.958082290999999896e+04	1.666099782222093184e-03	2.479627157418420619e-03	2.807529094504031351e-03	3.198391012647395365e-03
1.957086258000000089e+04	1.727824506035309992e-03	2.564433748845150896e-03	2.901059094298041700e-03	3.301966737343573280e-03
1.956091269000000102e+04	1.791544677540862773e-03	2.651742329498728550e-03	2.997266029077184403e-03	3.408411178729291429e-03
1.955097323999999935e+04	1.857313523981233378e-03	2.741612411192722708e-03	3.096211150324942353e-03	3.517787240165236307e-03
1.954104420000000027e+04	1.925185503366202066e-03	2.834104740801489213e-03	3.197956937428721516e-03	3.630159039557965834e-03
1.953112556000000041e+04	1.995215986859701432e-03	2.929280857618687690e-03	3.302566608149880550e-03	3.745591365877823636e-03
1.952121730000000025e+04	2.067461466135769345e-03	3.027203368576928105e-03	3.410104419626714192e-03	3.864150009741398450e-03
1.951131941000000006e+04	2.141979419371988110e-03	3.127935758329940599e-03	3.520635457724460154e-03	3.985901528904105436e-03
1.950143187000000034e+04	2.218828464124028219e-03	3.231542588753489546e-03	3.634225854242793732e-03	4.110913485665611787e-03
1.949155466000000160e+04	2.298068294840511713e-03	3.338089406208504147e-03	3.750942683075915874e-03	4.239254330165346044e-03
1.948168777000000046e+04	2.379759605452712225e-03	3.447642630423366616e-03	3.870853836816992057e-03	4.370993262813840236e-03
1.947183118000000104e+04	2.463964255956708430e-03	3.560269771189589639e-03	3.994028262373380128e-03	4.506200491345492207e-03
1.946198487999999998e+04	2.550745112493367148e-03	3.676039206802465646e-03	4.120535716750665586e-03	4.644946960507853433e-03
1.945214884000000166e+04	2.640166316054755064e-03	3.795020535698097504e-03	4.250447149670905957e-03	4.787304769729564848e-03
1.944232305999999880e+04	2.732292840069339493e-03	3.917283980258097487e-03	4.383834050719404886e-03	4.933346455408009826e-03
1.943250750999999946e+04	2.827191040981609765e-03	4.042901112753481685e-03	4.520769240382741493e-03	5.083145855709089375e-03
1.942270218999999997e+04	2.924928100007395844e-03	4.171944108164630377e-03	4.661326053386045942e-03	5.236777214441286528e-03
1.941290707000000111e+04	3.025572607787978176e-03	4.304486511859598706e-03	4.805579174046965135e-03	5.394316092851156146e-03
