peakcenter	17289.8119463758-20°C	17277.150453038626-40°C	17271.260566842393-45°C	17262.46575968384-50°C
1.999839949999999953e+04	3.240710399393505951e-04	4.170674391094644166e-04	4.176516455820818282e-04	4.403405510872651250e-04
1.998799624000000040e+04	3.384630261054205071e-04	4.352222424608146378e-04	4.358283081916443803e-04	4.594210770154103841e-04
1.997760411999999997e+04	3.534297106678351203e-04	4.540849240657022644e-04	4.547135350875603421e-04	4.792415255540370721e-04
1.996722313999999824e+04	3.689910894758966810e-04	4.736793780127775090e-04	4.743312363339687076e-04	4.998266983363485816e-04
1.995685327999999936e+04	3.851677611215533229e-04	4.940301913394869095e-04	4.947060151395132627e-04	5.212021098201190510e-04
1.994649451000000045e+04	4.019809282607409210e-04	5.151626431191562352e-04	5.158631669193165618e-04	5.433939857508986388e-04
1.993614682000000175e+04	4.194523612418566945e-04	5.371026562492888737e-04	5.378286310036813414e-04	5.664292119751248656e-04
1.992581019999999990e+04	4.376044393042753775e-04	5.598768467873421273e-04	5.606290400088171028e-04	5.903353857043026898e-04
1.991548461999999927e+04	4.564601996845674419e-04	5.835125829363015581e-04	5.842917788658462961e-04	6.151408768456877695e-04
1.990517007000000012e+04	4.760432794759162007e-04	6.080379094669912656e-04	6.088449091316020184e-04	6.408747480809915114e-04
1.989486652999999933e+04	4.963779808243736456e-04	6.334816268121641050e-04	6.343172481486038976e-04	6.675668372895862679e-04
1.988457398000000103e+04	5.174892659677816443e-04	6.598732820761221739e-04	6.607383600185870063e-04	6.952477474958042606e-04
1.987429239999999845e+04	5.394027695345081884e-04	6.872431816484903368e-04	6.881385682045725082e-04	7.239488594838593832e-04
1.986402178999999887e+04	5.621447657421581486e-04	7.156223475036740164e-04	7.165489117564526837e-04	7.537022853647325779e-04
1.985376210999999967e+04	5.857423126706615959e-04	7.450426944130311051e-04	7.460013226914550882e-04	7.845410537422601357e-04
1.984351335000000108e+04	6.102231116979254470e-04	7.755368515653198423e-04	7.765284473907819356e-04	8.164989220340940690e-04
1.983327549999999974e+04	6.356155823196500384e-04	8.071382530835794801e-04	8.081637371892928801e-04	8.496104707413761016e-04
1.982304853000000003e+04	6.619489266973540382e-04	8.398812152963334998e-04	8.409415257008037410e-04	8.839111837318390161e-04
1.981283242999999857e+04	6.892530427504017657e-04	8.738008255319102899e-04	8.748969174644670357e-04	9.194373310440009679e-04
1.980262718999999925e+04	7.175585830798421978e-04	9.089330124386373663e-04	9.100658583120278377e-04	9.562260419019083914e-04
1.979243277999999918e+04	7.468970255982710629e-04	9.453146304438037658e-04	9.464852198847637735e-04	9.943153924444978614e-04
1.978224918999999863e+04	7.773005748028702063e-04	9.829833340326888692e-04	9.841926737507746253e-04	1.033744273371686685e-03
1.977207640000000174e+04	8.088022576904297170e-04	1.021977693537319022e-03	1.023226807283830839e-03	1.074552510471495472e-03
1.976191439000000173e+04	8.414359087301282250e-04	1.062337173163846547e-03	1.063627101636014424e-03	1.116780840877166017e-03
1.975176314999999886e+04	8.752361481010917680e-04	1.104102100823465714e-03	1.105433901506786606e-03	1.160470880781443474e-03
1.974162266000000091e+04	9.102384578430782911e-04	1.147313758952759862e-03	1.148688506022651221e-03	1.205665219719751803e-03
1.973149290000000110e+04	9.464791634301740865e-04	1.192014358249060980e-03	1.193433142412105583e-03	1.252407392320615100e-03
1.972137385999999969e+04	9.839954079217932276e-04	1.238247002405992985e-03	1.239710930673177834e-03	1.300741840683563568e-03
1.971126551000000109e+04	1.022825274245236539e-03	1.286055835344561242e-03	1.287566030913912677e-03	1.350714067538247602e-03
1.970116785000000164e+04	1.063007607976331750e-03	1.335485819393023238e-03	1.337043421281343793e-03	1.402370403584590015e-03
1.969108084999999846e+04	1.104582259306481455e-03	1.386583029623860049e-03	1.388189192546990898e-03	1.455758314357130309e-03
1.968100449999999910e+04	1.147589898759028646e-03	1.439394423436472174e-03	1.441050317430464869e-03	1.510926158605429897e-03
1.967093878000000041e+04	1.192072148460467411e-03	1.493967998338905593e-03	1.495674808494074646e-03	1.567923352364511630e-03
1.966088366999999926e+04	1.238071554152653762e-03	1.550352753758839916e-03	1.552111679877502069e-03	1.626800328214986517e-03
1.965083915999999954e+04	1.285631547972233748e-03	1.608598641753257452e-03	1.610410897922359350e-03	1.687608483003165622e-03
1.964080523000000176e+04	1.334796550533409298e-03	1.668756688353053566e-03	1.670623502587373615e-03	1.750400303710873988e-03
1.963078186999999889e+04	1.385611886511925635e-03	1.730878886361603836e-03	1.732801500105875508e-03	1.815229254691762490e-03
1.962076904999999897e+04	1.438123946167412784e-03	1.795018388980360730e-03	1.796998056741111330e-03	1.882149978881631847e-03
1.961076675999999861e+04	1.492379992609176769e-03	1.861229270274470608e-03	1.863267258990407294e-03	1.951218046956964365e-03
1.960077497999999832e+04	1.548428324611751889e-03	1.929566720218950414e-03	1.931664308758013985e-03	2.022490159989826560e-03
1.959079371000000174e+04	1.606318118561639481e-03	2.000086847995122784e-03	2.002245326429740596e-03	2.096023943404739989e-03
1.958082290999999896e+04	1.666099783814515775e-03	2.072847110916253236e-03	2.075067780117046366e-03	2.171878393347978671e-03
1.957086258000000089e+04	1.727824507686134652e-03	2.147905756072081111e-03	2.150189926764369073e-03	2.250113293557440275e-03
1.956091269000000102e+04	1.791544679251930909e-03	2.225322332154770332e-03	2.227671324355887713e-03	2.330789748060225954e-03
1.955097323999999935e+04	1.857313525754436057e-03	2.305157243179322551e-03	2.307572385197282413e-03	2.413969715072120624e-03
1.954104420000000027e+04	1.925185505203478491e-03	2.387472221254070479e-03	2.389954849017076818e-03	2.499716498718745471e-03
1.953112556000000041e+04	1.995215988763039162e-03	2.472329936615784169e-03	2.474881392608003355e-03	2.588094341721434554e-03
1.952121730000000025e+04	2.067461468107197140e-03	2.559794244979673918e-03	2.562415877308007670e-03	2.679168682113669802e-03
1.951131941000000006e+04	2.141979421413593709e-03	2.649930020822967910e-03	2.652623182070162119e-03	2.773005978608157878e-03
1.950143187000000034e+04	2.218828466237949670e-03	2.742803338064181504e-03	2.745569384202750565e-03	2.869673897711602639e-03
1.949155466000000160e+04	2.298068297028933032e-03	2.838481389824955205e-03	2.841321678974870635e-03	2.969241229100743219e-03
1.948168777000000046e+04	2.379759607717871206e-03	2.937032390574545373e-03	2.939948281588619563e-03	3.071777782752060145e-03
1.947183118000000104e+04	2.463964258300896208e-03	3.038525772702595305e-03	3.041518623798905325e-03	3.177354592416225306e-03
1.946198487999999998e+04	2.550745114918932539e-03	3.143031988978180723e-03	3.146103156106856962e-03	3.286043708975800153e-03
1.945214884000000166e+04	2.640166318564088517e-03	3.250622831485991057e-03	3.253773666811305993e-03	3.397918531011040032e-03
1.944232305999999880e+04	2.732292842664903448e-03	3.361370894322710749e-03	3.364602744169943073e-03	3.513053244871097713e-03
1.943250750999999946e+04	2.827191043665907861e-03	3.475350231191692407e-03	3.478664434333516870e-03	3.631523507237049888e-03
1.942270218999999997e+04	2.924928102782995039e-03	3.592635679421284697e-03	3.596033564709217104e-03	3.753405741120563813e-03
1.941290707000000111e+04	3.025572610657505275e-03	3.713303557143761077e-03	3.716786441467251779e-03	3.878777859215251818e-03
1.940312213999999949e+04	3.129194080571076359e-03	3.837431073779509066e-03	3.841000259409170590e-03	4.007718649874407284e-03
1.939334737999999925e+04	3.235863253062335691e-03	3.965096690288293958e-03	3.968753462264173332e-03	4.140308150072164427e-03
1.938358279000000039e+04	3.345651773523804738e-03	4.096379727943471813e-03	4.100125350962738509e-03	4.276627237629796775e-03
1.937382833000000028e+04	3.458632867002724067e-03	4.231361169901865470e-03	4.235196885495388919e-03	4.416758462045210915e-03
1.936408399999999892e+04	3.574880442001899822e-03	4.370122583948399773e-03	4.374049606648247775e-03	4.560784924328428053e-03
1.935434977000000072e+04	3.694469896366039691e-03	4.512747079820032640e-03	4.516766593660587019e-03	4.708791269247076389e-03
1.934462565000000177e+04	3.817477275913597635e-03	4.659318299336965771e-03	4.663431453356689863e-03	4.860862635476413326e-03
1.933491159999999945e+04	3.943980392388145989e-03	4.809921743249666662e-03	4.814129647476577886e-03	5.017086030588241603e-03
1.932520761000000130e+04	4.074057832980030290e-03	4.964643584052895811e-03	4.968947304313781239e-03	5.177549097207753172e-03
1.931551367000000027e+04	4.207789326195552314e-03	5.123571096033138414e-03	5.127971648592519367e-03	5.342340557279343441e-03
1.930582977000000028e+04	4.345255744664838597e-03	5.286792651887767952e-03	5.291290997588074356e-03	5.511550206377682781e-03
1.929615587999999843e+04	4.486539404398685003e-03	5.454398070602258473e-03	5.458995108660480260e-03	5.685269271914185352e-03
1.928649198999999862e+04	4.631723500988476315e-03	5.626477940678317746e-03	5.631174501475099368e-03	5.863589709045281470e-03
1.927683809000000110e+04	4.780892385265206150e-03	5.803123940269916924e-03	5.807920777674241246e-03	6.046604530011508334e-03
1.926719414999999935e+04	4.934131889701953190e-03	5.984429215264042146e-03	5.989326998439709927e-03	6.234408192899218611e-03
1.925756017000000065e+04	5.091528550199965128e-03	6.170487449758304058e-03	6.175486753648751041e-03	6.427095635660639433e-03
1.924793612999999823e+04	5.253170395503888902e-03	6.361393791682179791e-03	6.366495087138540100e-03	6.624763231746285883e-03
1.923832200999999986e+04	5.419146649792825135e-03	6.557244491134809304e-03	6.562448133873462902e-03	6.827508411847879079e-03
1.922871779999999853e+04	5.589547561153618629e-03	6.758136688481693188e-03	6.763442906878617059e-03	7.035429440821016137e-03
1.921912349000000177e+04	5.764464571156135801e-03	6.964168604635972114e-03	6.969577486470547242e-03	7.248625610720352622e-03
1.920953904999999941e+04	5.943990704314977558e-03	7.175439988378536603e-03	7.180951466526771729e-03	7.467197699170194033e-03
1.919996446999999898e+04	6.128219850944620177e-03	7.392051260087372823e-03	7.397665096402644865e-03	7.691247078598643233e-03
1.919039975000000049e+04	6.317246929933976497e-03	7.614103692571143334e-03	7.619819460360613243e-03	7.920875898600372028e-03
1.918084485000000132e+04	6.511168905073403713e-03	7.841700591513700927e-03	7.847517656896237093e-03	8.156188301058589496e-03
1.917129977000000144e+04	6.710083221748788969e-03	8.074945445220277351e-03	8.080862945830708313e-03	8.397288500839063946e-03
1.916176449000000139e+04	6.914089018311104368e-03	8.313943332670745839e-03	8.319960155039659438e-03	8.644282235436678494e-03
1.915223900000000140e+04	7.123286537031164704e-03	8.558800216634302599e-03	8.564914971113477687e-03	8.897276027260299022e-03
1.914272327999999834e+04	7.337777578052464590e-03	8.809623458755763345e-03	8.815834452326351545e-03	9.156377708499006257e-03
1.913321731999999975e+04	7.557665089294771966e-03	9.066521321730029032e-03	9.072826528078208747e-03	9.421695898716999154e-03
1.912372109999999884e+04	7.783053650399162325e-03	9.329603516155453996e-03	9.336000543206095237e-03	9.693340561075894021e-03
1.911423460999999952e+04	8.014049047025415332e-03	9.598980682842723350e-03	9.605466737119022075e-03	9.971422458320311141e-03
1.910475782999999865e+04	8.250758787241947376e-03	9.874764973798114479e-03	9.881336821749124588e-03	1.025605374257350030e-02
1.909529074000000037e+04	8.493291920271359152e-03	1.015706981691446090e-02	1.016372374264917257e-02	1.054734770137300166e-02
1.908583334000000104e+04	8.741758556889397958e-03	1.044600933371977840e-02	1.045274109280396567e-02	1.084541814537199125e-02
1.907638560000000143e+04	8.996271224253610602e-03	1.074169988909775934e-02	1.074850465869631871e-02	1.115038099461044749e-02
1.906694752000000153e+04	9.256943353122536536e-03	1.104425830373940466e-02	1.105113062786777615e-02	1.146235242092159302e-02
1.905751907999999821e+04	9.523890678932219606e-03	1.135380345227876911e-02	1.136073718271229764e-02	1.178145048178160480e-02
1.904810024999999951e+04	9.797231095770984888e-03	1.167045605903197468e-02	1.167744429099199649e-02	1.210779489341206119e-02
