Wavenumber	20°C	40°C	45°C	50°C
1.999839949999999953e+04	3.240710399393505951e-04	7.771523752327201421e-04	9.169354843189473758e-04	1.167584925787575230e-03
1.998799624000000040e+04	3.384630261054205071e-04	8.083750435577997939e-04	9.528085096435172504e-04	1.211791975762091392e-03
1.997760411999999997e+04	3.534297106678351203e-04	8.407110840888729715e-04	9.899231822537222884e-04	1.257473119809870846e-03
1.996722313999999824e+04	3.689910894758966810e-04	8.741943226826558904e-04	1.028315905210441025e-03	1.304669647779056144e-03
1.995685327999999936e+04	3.851677611215533229e-04	9.088594563564854041e-04	1.068023982166289246e-03	1.353423818441397636e-03
1.994649451000000045e+04	4.019809282607409210e-04	9.447420415219301426e-04	1.109085600958366943e-03	1.403778835363329565e-03
1.993614682000000175e+04	4.194523612418566945e-04	9.818784025940742281e-04	1.151539726357966864e-03	1.455778711791905818e-03
1.992581019999999990e+04	4.376044393042753775e-04	1.020305706743221234e-03	1.195426183147468629e-03	1.509468369257368527e-03
1.991548461999999927e+04	4.564601996845674419e-04	1.060062053536218497e-03	1.240785755720873792e-03	1.564893755681620287e-03
1.990517007000000012e+04	4.760432794759162007e-04	1.101186337705355092e-03	1.287660028668921553e-03	1.622101646752135929e-03
1.989486652999999933e+04	4.963779808243736456e-04	1.143718372708762889e-03	1.336091525159618237e-03	1.681139811552558126e-03
1.988457398000000103e+04	5.174892659677816443e-04	1.187698865527857988e-03	1.386123675395686382e-03	1.742056970282658112e-03
1.987429239999999845e+04	5.394027695345081884e-04	1.233169427856076195e-03	1.437800826633736000e-03	1.804902802832338742e-03
1.986402178999999887e+04	5.621447657421581486e-04	1.280172494042781939e-03	1.491168147363990115e-03	1.869727828845942248e-03
1.985376210999999967e+04	5.857423126706615959e-04	1.328751604844901138e-03	1.546271946820952691e-03	1.936583792282659368e-03
1.984351335000000108e+04	6.102231116979254470e-04	1.378951101616830840e-03	1.603159324908227544e-03	2.005523232349565744e-03
1.983327549999999974e+04	6.356155823196500384e-04	1.430816266789995380e-03	1.661878329193604764e-03	2.076599670898474082e-03
1.982304853000000003e+04	6.619489266973540382e-04	1.484393440265482575e-03	1.722478083812536715e-03	2.149867764607901049e-03
1.981283242999999857e+04	6.892530427504017657e-04	1.539729826787948749e-03	1.785008568651136416e-03	2.225383034050751416e-03
1.980262718999999925e+04	7.175585830798421978e-04	1.596873601676574838e-03	1.849520736486599034e-03	2.303202002103372885e-03
1.979243277999999918e+04	7.468970255982710629e-04	1.655874037659218296e-03	1.916066653294652439e-03	2.383382359333761392e-03
1.978224918999999863e+04	7.773005748028702063e-04	1.716781290209872532e-03	1.984699253178404815e-03	2.465982664749747245e-03
1.977207640000000174e+04	8.088022576904297170e-04	1.779646575551436767e-03	2.055472536557957381e-03	2.551062581188977361e-03
1.976191439000000173e+04	8.414359087301282250e-04	1.844522124502438656e-03	2.128441515290961390e-03	2.638682805430211508e-03
1.975176314999999886e+04	8.752361481010917680e-04	1.911461124108896270e-03	2.203662144415787384e-03	2.728904982777588355e-03
1.974162266000000091e+04	9.102384578430782911e-04	1.980517853460055447e-03	2.281191472215261373e-03	2.821791883673941889e-03
1.973149290000000110e+04	9.464791634301740865e-04	2.051747630938766109e-03	2.361087578083051041e-03	2.917407325354275105e-03
