Wavenumber	Major Gaussian	Minor Gaussian
1.999839949999999953e+04	6.393722327206800817e-12	9.169354778527444771e-04
1.998799624000000040e+04	7.756836455928395640e-12	9.528085018134344227e-04
1.997760411999999997e+04	9.401677605015874812e-12	9.899231727780841324e-04
1.996722313999999824e+04	1.138457859980251259e-11	1.028315893751242634e-03
1.995685327999999936e+04	1.377274916748457722e-11	1.068023968318324371e-03
1.994649451000000045e+04	1.664629752249966530e-11	1.109085584236318067e-03
1.993614682000000175e+04	2.010060382327114969e-11	1.151539706181144195e-03
1.992581019999999990e+04	2.424912599183586610e-11	1.195426158821735361e-03
1.991548461999999927e+04	2.922670551209727109e-11	1.240785726417248727e-03
1.990517007000000012e+04	3.519342356949467333e-11	1.287659993398352102e-03
1.989486652999999933e+04	4.233915787499763346e-11	1.336091482743173098e-03
1.988457398000000103e+04	5.088890719805214546e-11	1.386123624429447991e-03
1.987429239999999845e+04	6.110903196528803093e-11	1.437800765447430629e-03
1.986402178999999887e+04	7.331453026215286603e-11	1.491168073972349694e-03
1.985376210999999967e+04	8.787764089023458000e-11	1.546271858866477824e-03
1.984351335000000108e+04	1.052377313498596383e-10	1.603159219594060651e-03
1.983327549999999974e+04	1.259129474819878125e-10	1.661878203204746312e-03
1.982304853000000003e+04	1.505138099275890692e-10	1.722477933223473361e-03
1.981283242999999857e+04	1.797589067276416623e-10	1.785008388817774672e-03
1.980262718999999925e+04	2.144932648882471416e-10	1.849520521919820193e-03
1.979243277999999918e+04	2.557097478696115441e-10	1.916066397512492881e-03
1.978224918999999863e+04	3.045736632087992206e-10	1.984698948533596304e-03
1.977207640000000174e+04	3.624515622913717177e-10	2.055472174036683964e-03
1.976191439000000173e+04	4.309444545277433111e-10	2.128441084278411520e-03
1.975176314999999886e+04	5.119261984790043169e-10	2.203661632423299047e-03
1.974162266000000091e+04	6.075881180121412325e-10	2.281190864562853381e-03
1.973149290000000110e+04	7.204903380784010438e-10	2.361086857530631661e-03
1.972137385999999969e+04	8.536209432528666088e-10	2.443408642220421586e-03
1.971126551000000109e+04	1.010464721371100853e-09	2.528216451842633852e-03
1.970116785000000164e+04	1.195081168653737718e-09	2.615571313701387911e-03
1.969108084999999846e+04	1.412196008638088226e-09	2.705535557270980461e-03
1.968100449999999910e+04	1.667304463341030302e-09	2.798172392265518924e-03
1.967093878000000041e+04	1.966791391815164492e-09	2.893546173321255664e-03
1.966088366999999926e+04	2.318068315794620385e-09	2.991722318317471818e-03
1.965083915999999954e+04	2.729730223096096904e-09	3.092767209346173815e-03
1.964080523000000176e+04	3.211736282628693018e-09	3.196748390321180883e-03
1.963078186999999889e+04	3.775614922809081734e-09	3.303734367464752214e-03
1.962076904999999897e+04	4.434700830891853496e-09	3.413794929464145349e-03
