Wavenumber	896.7896389624932-30C-896.7896389624932-20C	896.7896389624932-40C-896.7896389624932-20C	896.7896389624932-40C-896.7896389624932-30C	896.7896389624932-50C-896.7896389624932-20C	896.7896389624932-50C-896.7896389624932-30C	896.7896389624932-50C-896.7896389624932-40C	896.7896389624932-60C-896.7896389624932-20C	896.7896389624932-60C-896.7896389624932-30C	896.7896389624932-60C-896.7896389624932-40C	896.7896389624932-60C-896.7896389624932-50C	896.7896389624932-70C-896.7896389624932-20C	896.7896389624932-70C-896.7896389624932-30C	896.7896389624932-70C-896.7896389624932-40C	896.7896389624932-70C-896.7896389624932-50C	896.7896389624932-70C-896.7896389624932-60C
1.999839949999999953e+04	1.466566557523627835e-05	4.708625276775952554e-05	3.242058719252324719e-05	6.623093042024656577e-05	5.156526484501028742e-05	1.914467765248704023e-05	2.368747065558236776e-04	2.222090409805873993e-04	1.897884537880641521e-04	1.706437761355771119e-04	7.677745235199731795e-04	7.531088579447369011e-04	7.206882707522136540e-04	7.015435930997266679e-04	5.308998169641495832e-04
1.998799624000000040e+04	1.531511318357020753e-05	4.912421471756752355e-05	3.380910153399731602e-05	6.906369009982529273e-05	5.374857691625508521e-05	1.993947538225776918e-05	2.462561518642289102e-04	2.309410386806587162e-04	1.971319371466614002e-04	1.771924617644036310e-04	7.945154575634265793e-04	7.792003443798563040e-04	7.453912428458590693e-04	7.254517674636012459e-04	5.482593056991976691e-04
1.997760411999999997e+04	1.598989366195751715e-05	5.123963024519908932e-05	3.524973658324157216e-05	7.200267502974956493e-05	5.601278136779204778e-05	2.076304478455047561e-05	2.559602883841089740e-04	2.399703947221514433e-04	2.047206581389098847e-04	1.839576133543594091e-04	8.220527527506512906e-04	8.060628590886938141e-04	7.708131225054522554e-04	7.500500777209018069e-04	5.660924643665424250e-04
1.996722313999999824e+04	1.669083467520698016e-05	5.343494969366839576e-05	3.674411501846141560e-05	7.505119053164690732e-05	5.836035585643992716e-05	2.161624083797851156e-05	2.659961408163126636e-04	2.493053061411056970e-04	2.125611911226442678e-04	1.909449502846657563e-04	8.504049905861297502e-04	8.337141559109227835e-04	7.969700408924613273e-04	7.753538000544828428e-04	5.844088497698170324e-04
1.995685327999999936e+04	1.741878542038300293e-05	5.571268451115507188e-05	3.829389909077206896e-05	7.821262258160927526e-05	6.079383716122627233e-05	2.249993807045420338e-05	2.763729252398701148e-04	2.589541398194870848e-04	2.206602407287150294e-04	1.981603026582608260e-04	8.795910619061216018e-04	8.621722764857386260e-04	8.238783773949665164e-04	8.013784393245122588e-04	6.032181366662514328e-04
1.994649451000000045e+04	1.817461637204671060e-05	5.807540626483040011e-05	3.990078989278368952e-05	8.149043632247413027e-05	6.331581995042741967e-05	2.341503005764373016e-05	2.871000423309564881e-04	2.689254259589097910e-04	2.290246360661261015e-04	2.056096060084823714e-04	9.096301432357009999e-04	8.914555268636542486e-04	8.515547369708706404e-04	8.281397069132268290e-04	6.225301009047444576e-04
1.993614682000000175e+04	1.895921732594130660e-05	6.052574035103905424e-05	4.156652302509774763e-05	8.488816722970454873e-05	6.592894990376324212e-05	2.436242687866549449e-05	2.981870467780425903e-04	2.792278294521012430e-04	2.376613064270035225e-04	2.132988795483380280e-04	9.405416075583840612e-04	9.215823902324427139e-04	8.800158672073450476e-04	8.556534403286794989e-04	6.423545607803414709e-04
1.992581019999999990e+04	1.977349892209545276e-05	6.306637059416342534e-05	4.329287167206797259e-05	8.840942739214512590e-05	6.863592847004967314e-05	2.534305679798170056e-05	3.096436663492560092e-04	2.898701674271605836e-04	2.465772957550926110e-04	2.212342389571108833e-04	9.723450749539108099e-04	9.525715760318152758e-04	9.092787043597473032e-04	8.839356475617656840e-04	6.627014086046548007e-04
1.991548461999999927e+04	2.061839450130518352e-05	6.570004486017262191e-05	4.508165035886743839e-05	9.205791318174600334e-05	7.143951868044081982e-05	2.635786832157338143e-05	3.214798251379531388e-04	3.008614306366479011e-04	2.557797802777804627e-04	2.294219119562071084e-04	1.005060473459682812e-03	9.844420789583774659e-04	9.393604285995101359e-04	9.130025602779366731e-04	6.835806483217296732e-04
1.990517007000000012e+04	2.149485713999005560e-05	6.842956563192566124e-05	4.693470849193560565e-05	9.583739208516024841e-05	7.434253494517019281e-05	2.740782645323458716e-05	3.337055991074431302e-04	3.122107419674530204e-04	2.652760334755174419e-04	2.378682070222828547e-04	1.038707912451911596e-03	1.017213055311921594e-03	9.702783468199860156e-04	9.428705203667513742e-04	7.050023133444685737e-04
1.989486652999999933e+04	2.240386220429653398e-05	7.125779780352772146e-05	4.885393559923118748e-05	9.975171340013833511e-05	7.734785119584180113e-05	2.849391559661061364e-05	3.463312492773353880e-04	3.239273870730388269e-04	2.750734514738076395e-04	2.465795358771970258e-04	1.073307771591127920e-03	1.050903909386831413e-03	1.002049973787600117e-03	9.735560581909895577e-04	7.269765223137925319e-04
1.988457398000000103e+04	2.334640674362078896e-05	7.418766661304053759e-05	5.084125986941974863e-05	1.038048052642805065e-04	8.045839852065971758e-05	2.961713865123996895e-05	3.593672104532655764e-04	3.360208037096448145e-04	2.851795438402250659e-04	2.555624051889850970e-04	1.108880666452346023e-03	1.085534259708725207e-03	1.034692999839305566e-03	1.005075861188065543e-03	7.495134559990804463e-04
1.987429239999999845e+04	2.432350964537294551e-05	7.722215795156323320e-05	5.289864830619028769e-05	1.080006749789374576e-04	8.367716533356451213e-05	3.077851702737422444e-05	3.728240907107760829e-04	3.485005810654031103e-04	2.956019327592128497e-04	2.648234157318386252e-04	1.145447444189102992e-03	1.121123934543730074e-03	1.068225286237539651e-03	1.037446769210165426e-03	7.726233534783268552e-04
1.986402178999999887e+04	2.533620976917435067e-05	8.036431240589662147e-05	5.502810263672227079e-05	1.123434006751285381e-04	8.700719090595418741e-05	3.197908826923191662e-05	3.867126432450549789e-04	3.613764334758806283e-04	3.063483308391583846e-04	2.743692425699264408e-04	1.183029104685840664e-03	1.157692894916666259e-03	1.102664792279944069e-03	1.070685704010712180e-03	7.963164614407856846e-04
