Wavenumber	17254.243167289234-30C-17269.041071847205-20C	17248.118550349533-40C-17269.041071847205-20C	17248.118550349533-40C-17254.243167289234-30C	17233.344376234996-50C-17269.041071847205-20C	17233.344376234996-50C-17254.243167289234-30C	17233.344376234996-50C-17248.118550349533-40C	17222.547452456358-60C-17269.041071847205-20C	17222.547452456358-60C-17254.243167289234-30C	17222.547452456358-60C-17248.118550349533-40C	17222.547452456358-60C-17233.344376234996-50C	17199.639830854983-70C-17269.041071847205-20C	17199.639830854983-70C-17254.243167289234-30C	17199.639830854983-70C-17248.118550349533-40C	17199.639830854983-70C-17233.344376234996-50C	17199.639830854983-70C-17222.547452456358-60C
1.999839949999999953e+04	-2.749090994824654986e-07	-3.863886731814277983e-07	-1.114795736989622997e-07	-6.568901196989655094e-07	-3.819810202165000107e-07	-2.705014465175377110e-07	-8.516022487645261456e-07	-5.766931492820606469e-07	-4.652135755830983472e-07	-1.947121290655606362e-07	-1.255079950324749431e-06	-9.801708508422839325e-07	-8.686912771433216328e-07	-5.981898306257839217e-07	-4.034777015602232855e-07
1.998799624000000040e+04	-2.889885431570896231e-07	-4.061775190718528534e-07	-1.171889759147632304e-07	-6.905326075075173767e-07	-4.015440643504277537e-07	-2.843550884356645233e-07	-8.952168330354922602e-07	-6.062282898784026371e-07	-4.890393139636394068e-07	-2.046842255279748835e-07	-1.319358425920540883e-06	-1.030369882763451260e-06	-9.131809068486880293e-07	-6.288258184130235059e-07	-4.241415928850486225e-07
1.997760411999999997e+04	-3.037270847625013264e-07	-4.268927331121919432e-07	-1.231656483496906167e-07	-7.257499778504566739e-07	-4.220228930879553475e-07	-2.988572447382647308e-07	-9.408731077032030750e-07	-6.371460229407017485e-07	-5.139803745910111318e-07	-2.151231298527464010e-07	-1.386645888906747081e-06	-1.082918804144245755e-06	-9.597531557945551380e-07	-6.608959110562904072e-07	-4.457727812035440062e-07
1.996722313999999824e+04	-3.191523305980136557e-07	-4.485731156588190728e-07	-1.294207850608054171e-07	-7.626081914891453010e-07	-4.434558608911316454e-07	-3.140350758303262282e-07	-9.886565830400241128e-07	-6.695042524420104571e-07	-5.400834673812050400e-07	-2.260483915508788117e-07	-1.457068357346363928e-06	-1.137916026748350272e-06	-1.008495241687544855e-06	-6.944601658572186267e-07	-4.684117743063398150e-07
1.995685327999999936e+04	-3.352929175215940217e-07	-4.712589154034157275e-07	-1.359659978818217058e-07	-8.011756709381043359e-07	-4.658827534165103142e-07	-3.299167555346886084e-07	-1.038655960346071636e-06	-7.033630428244776146e-07	-5.673970449426559088e-07	-2.374802894079673004e-07	-1.530756551089280091e-06	-1.195463633567686070e-06	-1.059497635685864364e-06	-7.295808801511757553e-07	-4.921005907432084549e-07
1.994649451000000045e+04	-3.521785329953122483e-07	-4.949918575237788375e-07	-1.428133245284665892e-07	-8.415233482290392997e-07	-4.893448152337270514e-07	-3.465314907052604622e-07	-1.090963193794611784e-06	-7.387846607992995356e-07	-5.959713362708329463e-07	-2.494398455655724841e-07	-1.607845982718814418e-06	-1.255667449723502169e-06	-1.112854125195035580e-06	-7.663226344897751180e-07	-5.168827889242026338e-07
1.993614682000000175e+04	-3.698398970646942906e-07	-5.198151183286687724e-07	-1.499752212639744817e-07	-8.837246216950565576e-07	-5.138847246303622669e-07	-3.639095033663877852e-07	-1.145673434316873203e-06	-7.758335372521789125e-07	-6.258583159882044307e-07	-2.619488126218166455e-07	-1.688476874616267058e-06	-1.318636977551572768e-06	-1.168661756287598286e-06	-8.047522529212105006e-07	-5.428034402993938551e-07
1.992581019999999990e+04	-3.883088221940918586e-07	-5.457734093257480407e-07	-1.574645871316561821e-07	-9.278554987628677029e-07	-5.395466765687758444e-07	-3.820820894371196623e-07	-1.202885214614805203e-06	-8.145763924207133442e-07	-6.571118052890571621e-07	-2.750297158519374998e-07	-1.772794431355155000e-06	-1.384485609161063141e-06	-1.227021022029406959e-06	-8.449389325922872966e-07	-5.699092167403497968e-07
1.991548461999999927e+04	-4.076182829768299019e-07	-5.729130751631200669e-07	-1.652947921862901650e-07	-9.739947623094776397e-07	-5.663764793326477379e-07	-4.010816871463575729e-07	-1.262700664705240132e-06	-8.550823817284102304e-07	-6.897875895421200654e-07	-2.887059023957624926e-07	-1.860949157045304150e-06	-1.453330874068474248e-06	-1.288036081882184083e-06	-8.869543947358265101e-07	-5.982484923400640175e-07
1.990517007000000012e+04	-4.278023770508431519e-07	-6.012820386529877867e-07	-1.734796616021446348e-07	-1.022223877022488975e-06	-5.944214999716458236e-07	-4.209418383695011888e-07	-1.325225390381128002e-06	-8.974230133302848501e-07	-7.239433517281402154e-07	-3.030015133586390266e-07	-1.953096675836349209e-06	-1.525294298785506058e-06	-1.351814637183361423e-06	-9.308727988138602340e-07	-6.278712854552212074e-07
