Wavenumber	30C-20C	40C-20C	40C-30C	50C-20C	50C-30C	50C-40C	60C-20C	60C-30C	60C-40C	60C-50C	70C-20C	70C-30C	70C-40C	70C-50C	70C-60C
1.999839949999999953e+04	1.448234039251165047e-05	5.852468786354014557e-05	4.404234747102849510e-05	9.187489058744854973e-05	7.739255019493689926e-05	3.335020272390840416e-05	3.126083746679181362e-04	2.981260342754065264e-04	2.540836868043780178e-04	2.207334840804696136e-04	1.066646016780986627e-03	1.052163676388475017e-03	1.008121328917446508e-03	9.747711261935380770e-04	7.540376421130684905e-04
1.998799624000000040e+04	1.513512640104687956e-05	6.111335767750070461e-05	4.597823127645382505e-05	9.590224420498822614e-05	8.076711780394134658e-05	3.478888652748752153e-05	3.251467898028498099e-04	3.100116634018029575e-04	2.640334321253491189e-04	2.292445455978615973e-04	1.103887266833286163e-03	1.088752140432239311e-03	1.042773909155785472e-03	1.007985022628297977e-03	7.787404770304364073e-04
1.997760411999999997e+04	1.581406437769670385e-05	6.380357243327683110e-05	4.798950805558012725e-05	1.000861562094483613e-04	8.427209183175165749e-05	3.628258377617153024e-05	3.381255028350645402e-04	3.223114384573678363e-04	2.743219304017877362e-04	2.380393466256161788e-04	1.142247015222221150e-03	1.126432950844524338e-03	1.078443442788944292e-03	1.042160859012772681e-03	8.041215123871565560e-04
1.996722313999999824e+04	1.652004851188771479e-05	6.659871654829385961e-05	5.007866803640614482e-05	1.044317977250408265e-04	8.791174921315311167e-05	3.783308117674696685e-05	3.515573163755546693e-04	3.350372678636669545e-04	2.849585998272608097e-04	2.471255186505138699e-04	1.181752010771204130e-03	1.165231962259316361e-03	1.115153294222910162e-03	1.077320213046163277e-03	8.301946943956495153e-04
1.995685327999999936e+04	1.725399839579440224e-05	6.950226749441274171e-05	5.224826909861833948e-05	1.089444810337430227e-04	9.169048263794862049e-05	3.944221353933028101e-05	3.654553287401331413e-04	3.482013303443387119e-04	2.959530612457203589e-04	2.565108477063901050e-04	1.222429483794393356e-03	1.205175485398598872e-03	1.152927216299980519e-03	1.113485002760650211e-03	8.569741550542601602e-04
1.994649451000000045e+04	1.801685894527848143e-05	7.251779521656217923e-05	5.450093627128369781e-05	1.136296585951298541e-04	9.561279964985137264e-05	4.111186337856767483e-05	3.798329265184046191e-04	3.618160675731261783e-04	3.073151313018424534e-04	2.662032679232747786e-04	1.264307115328606795e-03	1.246290256383328137e-03	1.191789320112044467e-03	1.150677456733476900e-03	8.844741888102020675e-04
1.993614682000000175e+04	1.880959860373511829e-05	7.564895477597828176e-05	5.683935617224316348e-05	1.184929115520846047e-04	9.968331294834948644e-05	4.284395677610632297e-05	3.947037452058878206e-04	3.758941466021527159e-04	3.190547904299094982e-04	2.762108336538032023e-04	1.307412914905643634e-03	1.288603316301908421e-03	1.231763960129665311e-03	1.188920003353558961e-03	9.127091696997558130e-04
1.992581019999999990e+04	1.963321105902916070e-05	7.889949288895814115e-05	5.926628182992898044e-05	1.235399598359643010e-04	1.039067487769351403e-04	4.464046694700615986e-05	4.100816963667099752e-04	3.904484853076808145e-04	3.311822034777518612e-04	2.865417365307456471e-04	1.351775293304777539e-03	1.332142082245748324e-03	1.272875800415819263e-03	1.228235333468813157e-03	9.416935969380675099e-04
1.991548461999999927e+04	2.048871731274838170e-05	8.227325582447125646e-05	6.178453851172287475e-05	1.287766743663848522e-04	1.082879570536364705e-04	4.650341854191359574e-05	4.259810005638231577e-04	4.054922832510748031e-04	3.437077447393519555e-04	2.972043261974383326e-04	1.397423149752316301e-03	1.376934432439567892e-03	1.315149893927844990e-03	1.268646475385931368e-03	9.714421491884930350e-04
1.990517007000000012e+04	2.137716287657208825e-05	8.577417807138139360e-05	6.439701519480930535e-05	1.342090593982814479e-04	1.128318965217093596e-04	4.843488132690005428e-05	4.424161294289599006e-04	4.210389665523878123e-04	3.566419513575784799e-04	3.082070700306784256e-04	1.444385697630058609e-03	1.423008534753486629e-03	1.358611519558677351e-03	1.310176638231777243e-03	1.001969568201098709e-03
1.989486652999999933e+04	2.229962055788549825e-05	8.940629305819123023e-05	6.710667250030573198e-05	1.398432691106074783e-04	1.175436485527219801e-04	5.043697605241624811e-05	4.594018519966479438e-04	4.371022314387624456e-04	3.699955589384567407e-04	3.195585828860404926e-04	1.492692590934272109e-03	1.470392970376386719e-03	1.403286297876080906e-03	1.352849321823664658e-03	1.033290738937624274e-03
1.988457398000000103e+04	2.325719005510419341e-05	9.317373127624422745e-05	6.991654122114003404e-05	1.456856046384932704e-04	1.224284145833890770e-04	5.251187336224904297e-05	4.769532214080283170e-04	4.536960313529241236e-04	3.837794901317841166e-04	3.312676167695350737e-04	1.542373878779447960e-03	1.519116688724343875e-03	1.449200147503203759e-03	1.396688274140954825e-03	1.065420657371419534e-03
1.987429239999999845e+04	2.425099832900187084e-05	9.708072146160317238e-05	7.282972313260130154e-05	1.517425158574904165e-04	1.274915175284885456e-04	5.466179439588724409e-05	4.950855760853839667e-04	4.708345777563821772e-04	3.980048546237808485e-04	3.433430602278936044e-04	1.593460001843687631e-03	1.569209003514685733e-03	1.496379280382084459e-03	1.441717485986197160e-03	1.098374425758303664e-03
1.986402178999999887e+04	2.528219792199975927e-05	1.011315837136714918e-04	7.584938579167173258e-05	1.580205906753163656e-04	1.327383927533166063e-04	5.688900696164487375e-05	5.138145036683434931e-04	4.885323057463436796e-04	4.126829199546720012e-04	3.557939129930271275e-04	1.645981684717349796e-03	1.620699486795350091e-03	1.544850101003678250e-03	1.487961094042033377e-03	1.132167181049006412e-03
1.985376210999999967e+04	2.635197329940789897e-05	1.053307541218682464e-04	7.897878082246034739e-05	1.645265931578457743e-04	1.381746198584378753e-04	5.919583903597752791e-05	5.331559506160635144e-04	5.068039773166556697e-04	4.278251964941952681e-04	3.686293574582177402e-04	1.699970236889492697e-03	1.673618263590084853e-03	1.594639482767624614e-03	1.535443643731647032e-03	1.166814286273429400e-03
1.984351335000000108e+04	2.746153426699528234e-05	1.096827586078879581e-04	8.222122434089267572e-05	1.712674229446614290e-04	1.438058886776661467e-04	6.158466433677347099e-05	5.531260967390346731e-04	5.256645624720393366e-04	4.434433381311466880e-04	3.818586737943732170e-04	1.755457193777976285e-03	1.727995659510980948e-03	1.645774435170088354e-03	1.584189770833314883e-03	1.202331097038941612e-03
1.983327549999999974e+04	2.861211914886960684e-05	1.141922251264837192e-04	8.558010597761411234e-05	1.782501341289308313e-04	1.496380149800612244e-04	6.405790900244711207e-05	5.737414075682354623e-04	5.451292884193658555e-04	4.595491824417517160e-04	3.954912734393046039e-04	1.812474458324541413e-03	1.783862339175671914e-03	1.698282233198057829e-03	1.634224324195610555e-03	1.238733050756305951e-03
1.982304853000000003e+04	2.980499748867125273e-05	1.188638939434801976e-04	8.905889645480894487e-05	1.854819511334569694e-04	1.556769536447857166e-04	6.661805718997677178e-05	5.950186768067457395e-04	5.652136793180745139e-04	4.761547828632655419e-04	4.095367256732887701e-04	1.871054411461240980e-03	1.841249413972569646e-03	1.752190517517760674e-03	1.685572460327783902e-03	1.276035734654495241e-03
1.981283242999999857e+04	3.104146588099867209e-05	1.237026009925839079e-04	9.266113511158523578e-05	1.929702429082834033e-04	1.619287770272847312e-04	6.926764191569949542e-05	6.169749458951163078e-04	5.859334800141176086e-04	4.932723449025324270e-04	4.240047029868328774e-04	1.931229683520388095e-03	1.900188217639389287e-03	1.807527082527804214e-03	1.738259440612104773e-03	1.314254737625271787e-03
1.980262718999999925e+04	3.232285040432271894e-05	1.287132871112165822e-04	9.639043670689386323e-05	2.007225372100142054e-04	1.683996868056914864e-04	7.200925009879762320e-05	6.396275421272222712e-04	6.073046917228995794e-04	5.109142550160057162e-04	4.389050049172080930e-04	1.993033254512763253e-03	1.960710404108440344e-03	1.864319967401546589e-03	1.792310717302748966e-03	1.353405712385540981e-03
1.979243277999999918e+04	3.365050957192871153e-05	1.339010092563484996e-04	1.002504996844197881e-04	2.087465379241913797e-04	1.750960283522626682e-04	7.484552866784288010e-05	6.629941248141877144e-04	6.293436152422590300e-04	5.290931155578392419e-04	4.542475868899963618e-04	2.056498573487586332e-03	2.022848063915657323e-03	1.922597564231237751e-03	1.847752035563394925e-03	1.393504448673398618e-03
1.978224918999999863e+04	3.502582960939430853e-05	1.392709217183100610e-04	1.042450921089157524e-04	2.170500959782541432e-04	1.820242663688598347e-04	7.777917425994408229e-05	6.870925960245693673e-04	6.520667664151750045e-04	5.478216743062592521e-04	4.700425000463151698e-04	2.121659309300995538e-03	2.086633479691601609e-03	1.982388387582685423e-03	1.904609213322741666e-03	1.434566713276426387e-03
1.977207640000000174e+04	3.645022853547878142e-05	1.448282917513986508e-04	1.083780632159198694e-04	2.256412335040667259e-04	1.891910049685879445e-04	8.081294175266807512e-05	7.119411668693376898e-04	6.754909383338589084e-04	5.671128751179390932e-04	4.862999333652709638e-04	2.188549525771141605e-03	2.152099297235662931e-03	2.043721234019743333e-03	1.962908292267075312e-03	1.476608358901804023e-03
1.976191439000000173e+04	3.792515521287289585e-05	1.505784955284395778e-04	1.126533403155666820e-04	2.345281375610184182e-04	1.966029823481455223e-04	8.394964203257884033e-05	7.375583348232734107e-04	6.996331796104005149e-04	5.869798392948337787e-04	5.030301972622549384e-04	2.257203614249687733e-03	2.219278459036814512e-03	2.106625118721248101e-03	2.022675476688669260e-03	1.519645279426414105e-03
1.975176314999999886e+04	3.945208809017647106e-05	1.565270129083734811e-04	1.170749248181970101e-04	2.437191520397267172e-04	2.042670639495502462e-04	8.719213913135323612e-05	7.639628562580265880e-04	7.245107681678501169e-04	6.074358433496530527e-04	5.202437042182998708e-04	2.327656215177217186e-03	2.288204127087040823e-03	2.171129202268843976e-03	2.083937063137490577e-03	1.563693358919190706e-03
1.974162266000000091e+04	4.103253836088151902e-05	1.626794394123963266e-04	1.216469010515148076e-04	2.532227961607897435e-04	2.121902577999082245e-04	9.054335674839341687e-05	7.911737955185907216e-04	7.501412571577091484e-04	6.284943561061943950e-04	5.379509993578009781e-04	2.399942344540871922e-03	2.358909806179990565e-03	2.237262905128475921e-03	2.146719548380082287e-03	1.608768549022281417e-03
1.973149290000000110e+04	4.266804883911389738e-05	1.690414814878322806e-04	1.263734326487183832e-04	2.630477571433265278e-04	2.203797083042126305e-04	9.400627565549424724e-05	8.192104993969697531e-04	7.765424505578558557e-04	6.501690179091374183e-04	5.561627422536432252e-04	2.474097320081560403e-03	2.431429271242446614e-03	2.305055838593728177e-03	2.211049562938233876e-03	1.654886820684590759e-03
1.972137385999999969e+04	4.436019249739770343e-05	1.756189504760011255e-04	1.312587579786034220e-04	2.732028808875406494e-04	2.288426883901429460e-04	9.758393041153952396e-05	8.480925664435979162e-04	8.037323739462003212e-04	6.724736159675968449e-04	5.748896855560573210e-04	2.550156675794230509e-03	2.505796483296832914e-03	2.374537725318229438e-03	2.276953794906689914e-03	1.702064109350632593e-03
