Wavenumber	30C-20C	40C-20C	40C-30C	50C-20C	50C-30C	50C-40C	60C-20C	60C-30C	60C-40C	60C-50C	70C-20C	70C-30C	70C-40C	70C-50C	70C-60C
1.999839949999999953e+04	-4.610000000000000382e-03	-5.290000000000000431e-03	-6.800000000000000488e-04	-5.320000000000000076e-03	-7.100000000000001275e-04	-3.000000000000007869e-05	-5.752105999999999886e-03	-1.142106000000000154e-03	-4.621060000000001052e-04	-4.321060000000000265e-04	-6.550000000000000266e-03	-1.940000000000000101e-03	-1.260000000000000052e-03	-1.229999999999999974e-03	-7.978939999999999470e-04
1.998799624000000040e+04	-4.749999999999999882e-03	-5.349999999999999721e-03	-6.000000000000000559e-04	-5.663300999999999925e-03	-9.133010000000000433e-04	-3.133009999999999875e-04	-5.945182999999999718e-03	-1.195183000000000053e-03	-5.951829999999999968e-04	-2.818820000000000093e-04	-6.550143999999999932e-03	-1.800144000000000050e-03	-1.200143999999999994e-03	-8.868430000000000063e-04	-6.049609999999999970e-04
1.997760411999999997e+04	-4.859999999999999737e-03	-5.259999999999999919e-03	-3.999999999999999650e-04	-6.020636000000000217e-03	-1.160636000000000046e-03	-7.606359999999999727e-04	-5.982259000000000188e-03	-1.122259000000000017e-03	-7.222589999999999436e-04	3.837700000000002915e-05	-6.454419000000000302e-03	-1.594418999999999914e-03	-1.194418999999999949e-03	-4.337830000000000310e-04	-4.721600000000000601e-04
1.996722313999999824e+04	-4.890000000000000249e-03	-5.029999999999999749e-03	-1.399999999999999335e-04	-6.308878000000000402e-03	-1.418877999999999936e-03	-1.278878000000000003e-03	-5.854680000000000127e-03	-9.646799999999999863e-04	-8.246800000000000528e-04	4.541980000000000583e-04	-6.263577000000000207e-03	-1.373576999999999958e-03	-1.233577000000000024e-03	4.530100000000000554e-05	-4.088970000000000256e-04
1.995685327999999936e+04	-4.850000000000000144e-03	-4.709999999999999777e-03	1.399999999999999335e-04	-6.463025399999999983e-03	-1.613025400000000055e-03	-1.753025399999999989e-03	-5.595094999999999583e-03	-7.450949999999999804e-04	-8.850949999999999139e-04	8.679303999999999665e-04	-5.972742999999999976e-03	-1.122742999999999831e-03	-1.262742999999999765e-03	4.902824000000000071e-04	-3.776479999999999594e-04
1.994649451000000045e+04	-4.720000000000000237e-03	-4.349999999999999700e-03	3.699999999999998863e-04	-6.429999999999999952e-03	-1.709999999999999932e-03	-2.079999999999999818e-03	-5.249999999999999459e-03	-5.299999999999998723e-04	-8.999999999999997585e-04	1.180000000000000059e-03	-5.554270000000000040e-03	-8.342699999999999118e-04	-1.204269999999999907e-03	8.757300000000000197e-04	-3.042700000000000396e-04
1.993614682000000175e+04	-4.540000000000000632e-03	-3.990000000000000491e-03	5.500000000000001416e-04	-6.210460000000000112e-03	-1.670459999999999914e-03	-2.220460000000000055e-03	-4.919999999999999894e-03	-3.799999999999999125e-04	-9.300000000000000541e-04	1.290460000000000001e-03	-5.000000000000000104e-03	-4.599999999999999055e-04	-1.010000000000000047e-03	1.210460000000000008e-03	-7.999999999999999299e-05
1.992581019999999990e+04	-4.300000000000000003e-03	-3.689999999999999704e-03	6.099999999999998652e-04	-5.823601999999999772e-03	-1.523601999999999986e-03	-2.133602000000000068e-03	-4.669999999999999672e-03	-3.700000000000001031e-04	-9.799999999999999684e-04	1.153601999999999883e-03	-4.279999999999999083e-03	2.000000000000005246e-05	-5.899999999999998128e-04	1.543602000000000038e-03	3.900000000000001556e-04
1.991548461999999927e+04	-4.049999999999999781e-03	-3.439999999999999915e-03	6.099999999999998652e-04	-5.323706999999999571e-03	-1.273707000000000008e-03	-1.883706999999999873e-03	-4.559999999999999817e-03	-5.100000000000000366e-04	-1.119999999999999902e-03	7.637069999999999709e-04	-3.389999999999999784e-03	6.599999999999999964e-04	5.000000000000013115e-05	1.933707000000000004e-03	1.170000000000000033e-03
1.990517007000000012e+04	-3.820000000000000045e-03	-3.250000000000000284e-03	5.699999999999997603e-04	-4.789999999999999987e-03	-9.699999999999999421e-04	-1.539999999999999702e-03	-4.619999999999999975e-03	-8.000000000000001468e-04	-1.369999999999999907e-03	1.699999999999997954e-04	-2.370000000000000145e-03	1.449999999999999900e-03	8.800000000000001397e-04	2.419999999999999842e-03	2.250000000000000264e-03
1.989486652999999933e+04	-3.660000000000000059e-03	-3.109999999999999917e-03	5.500000000000001416e-04	-4.320000000000000055e-03	-6.599999999999997796e-04	-1.209999999999999921e-03	-4.839999999999999684e-03	-1.179999999999999842e-03	-1.729999999999999984e-03	-5.200000000000000629e-04	-1.279999999999999888e-03	2.380000000000000171e-03	1.830000000000000029e-03	3.040000000000000167e-03	3.559999999999999797e-03
1.988457398000000103e+04	-3.560000000000000230e-03	-2.980000000000000010e-03	5.800000000000002202e-04	-3.959999999999999978e-03	-3.999999999999997481e-04	-9.799999999999999684e-04	-5.159666000000000252e-03	-1.599666000000000022e-03	-2.179666000000000242e-03	-1.199666000000000274e-03	-1.700000000000000122e-04	3.390000000000000218e-03	2.809999999999999998e-03	3.789999999999999966e-03	4.989666000000000240e-03
1.987429239999999845e+04	-3.549999999999999770e-03	-2.840000000000000076e-03	7.099999999999996939e-04	-3.759999999999999887e-03	-2.100000000000001171e-04	-9.199999999999998110e-04	-5.481811999999999969e-03	-1.931812000000000199e-03	-2.641811999999999893e-03	-1.721812000000000082e-03	8.700000000000001135e-04	4.420000000000000318e-03	3.710000000000000190e-03	4.630000000000000435e-03	6.351812000000000083e-03
1.986402178999999887e+04	-3.619999999999999954e-03	-2.689999999999999683e-03	9.300000000000002709e-04	-3.749999999999999861e-03	-1.299999999999999073e-04	-1.060000000000000178e-03	-5.720635999999999430e-03	-2.100635999999999910e-03	-3.030636000000000180e-03	-1.970636000000000002e-03	1.769999999999999872e-03	5.389999999999999826e-03	4.459999999999999555e-03	5.519999999999999733e-03	7.490635999999999302e-03
1.985376210999999967e+04	-3.719999999999999783e-03	-2.510000000000000078e-03	1.209999999999999704e-03	-3.870000000000000176e-03	-1.500000000000001766e-04	-1.359999999999999881e-03	-5.749999999999999903e-03	-2.030000000000000120e-03	-3.239999999999999825e-03	-1.879999999999999944e-03	2.510000000000000078e-03	6.229999999999999427e-03	5.020000000000000157e-03	6.380000000000000254e-03	8.259999999999999981e-03
1.984351335000000108e+04	-3.860000000000000150e-03	-2.340000000000000066e-03	1.520000000000000084e-03	-4.069999999999999833e-03	-2.099999999999999003e-04	-1.729999999999999984e-03	-5.528395999999999658e-03	-1.668395999999999942e-03	-3.188396000000000025e-03	-1.458396000000000041e-03	3.070000000000000680e-03	6.930000000000000396e-03	5.410000000000000746e-03	7.140000000000000513e-03	8.598396000000001205e-03
1.983327549999999974e+04	-3.969999999999999571e-03	-2.199999999999999699e-03	1.770000000000000089e-03	-4.279999999999999950e-03	-3.099999999999999457e-04	-2.080000000000000251e-03	-5.014209999999999848e-03	-1.044209999999999843e-03	-2.814210000000000149e-03	-7.342100000000000059e-04	3.479999999999999587e-03	7.449999999999999158e-03	5.679999999999999286e-03	7.759999999999999537e-03	8.494209999999998567e-03
1.982304853000000003e+04	-4.040000000000000188e-03	-2.129999999999999949e-03	1.910000000000000022e-03	-4.421931999999999946e-03	-3.819319999999999746e-04	-2.291931999999999997e-03	-4.239999999999999845e-03	-1.999999999999998741e-04	-2.109999999999999896e-03	1.819320000000001006e-04	3.799999999999999559e-03	7.839999999999999747e-03	5.929999999999999508e-03	8.221931999999999505e-03	8.039999999999998537e-03
