wavenumber	20ºC	30°C	40°C	50°C	60°C	70°C
19998,3995	0,00655	0,00194	0,00126	0,00123	7,97894E-4	0
19987,99624	0,00658	0,00183	0,00123	9,16699E-4	6,34817E-4	2,9856E-5
19977,60412	0,00658	0,00172	0,00132	5,59364E-4	5,97741E-4	1,25581E-4
19967,22314	0,00655	0,00166	0,00152	2,41122E-4	6,9532E-4	2,86423E-4
19956,85328	0,0065	0,00165	0,00179	3,69746E-5	9,04905E-4	5,27257E-4
19946,49451	0,00643	0,00171	0,00208	0	0,00118	8,7573E-4
19936,14682	0,00636	0,00182	0,00237	1,4954E-4	0,00144	0,00136
19925,8102	0,00629	0,00199	0,0026	4,66398E-4	0,00162	0,00201
19915,48462	0,00622	0,00217	0,00278	8,96293E-4	0,00166	0,00283
19905,17007	0,00615	0,00233	0,0029	0,00136	0,00153	0,00378
19894,86653	0,00609	0,00243	0,00298	0,00177	0,00125	0,00481
19884,57398	0,00602	0,00246	0,00304	0,00206	8,60334E-4	0,00585
19874,2924	0,00594	0,00239	0,0031	0,00218	4,58188E-4	0,00681
19864,02179	0,00586	0,00224	0,00317	0,00211	1,39364E-4	0,00763
19853,76211	0,00575	0,00203	0,00324	0,00188	0	0,00826
19843,51335	0,00564	0,00178	0,0033	0,00157	1,11604E-4	0,00871
19833,2755	0,00552	0,00155	0,00332	0,00124	5,0579E-4	0,009
19823,04853	0,00541	0,00137	0,00328	9,88068E-4	0,00117	0,00921
19812,83243	0,00529	0,00128	0,00318	8,83971E-4	0,00204	0,00942
19802,62719	0,00518	0,00131	0,00304	9,69481E-4	0,00302	0,00971
19792,43278	0,00507	0,00144	0,00286	0,00125	0,00402	0,01014
19782,24919	0,00495	0,00168	0,00269	0,0017	0,00492	0,01073
19772,0764	0,00482	0,00199	0,00255	0,00225	0,00565	0,01146
19761,91439	0,00467	0,00233	0,00247	0,00283	0,00617	0,01229
19751,76315	0,0045	0,00267	0,00244	0,00337	0,00649	0,01313
19741,62266	0,00431	0,00296	0,00246	0,00379	0,00662	0,01393
19731,4929	0,0041	0,00317	0,0025	0,00406	0,00664	0,01461
19721,37386	0,0039	0,00327	0,00252	0,00416	0,0066	0,01513
19711,26551	0,00371	0,00326	0,0025	0,00411	0,00657	0,01549
19701,16785	0,00355	0,00314	0,00242	0,00393	0,00659	0,01571
19691,08085	0,00341	0,00292	0,00227	0,00368	0,00667	0,01583
19681,0045	0,00331	0,00263	0,00209	0,0034	0,00682	0,0159
19670,93878	0,00325	0,0023	0,00191	0,00315	0,00701	0,01599
19660,88367	0,00323	0,00198	0,00176	0,00294	0,00719	0,01613
19650,83916	0,00324	0,00169	0,00169	0,00281	0,00735	0,01636
19640,80523	0,0033	0,00146	0,00173	0,00276	0,00746	0,01671
19630,78187	0,00338	0,0013	0,00189	0,00278	0,00751	0,01718
19620,76905	0,00349	0,00123	0,00216	0,00287	0,0075	0,01777
19610,76676	0,00362	0,00123	0,00251	0,003	0,00747	0,01845
19600,77498	0,00375	0,0013	0,00292	0,00317	0,00743	0,01922
19590,79371	0,00386	0,00142	0,00332	0,00335	0,0074	0,02002
19580,82291	0,00395	0,00158	0,00369	0,00354	0,00741	0,02082
19570,86258	0,004	0,00176	0,00399	0,00372	0,00745	0,02157
19560,91269	0,004	0,00194	0,00421	0,00387	0,0075	0,02221
19550,97324	0,00396	0,00213	0,00434	0,004	0,00755	0,02269
19541,0442	0,00388	0,00232	0,00438	0,00409	0,00758	0,02299
19531,12556	0,00377	0,0025	0,00435	0,00415	0,00757	0,02308
19521,2173	0,00366	0,00265	0,00427	0,00417	0,0075	0,02297
19511,31941	0,00356	0,00278	0,00417	0,00416	0,00739	0,02268
19501,43187	0,00349	0,00286	0,00406	0,00414	0,00723	0,02226
19491,55466	0,00347	0,00288	0,00396	0,00411	0,00707	0,02177
19481,68777	0,00349	0,00284	0,0039	0,00409	0,00694	0,02127
19471,83118	0,00355	0,00272	0,00386	0,00408	0,00686	0,02083
19461,98488	0,00365	0,00255	0,00387	0,00407	0,00687	0,02048
19452,14884	0,00376	0,00232	0,0039	0,00407	0,00698	0,02025
19442,32306	0,00389	0,00206	0,00396	0,00404	0,00718	0,02015
19432,50751	0,00401	0,0018	0,00403	0,00397	0,00747	0,02018
19422,70219	0,00412	0,00155	0,00409	0,00386	0,00783	0,0203
19412,90707	0,00422	0,00134	0,00413	0,0037	0,00822	0,02049
19403,12214	0,0043	0,00117	0,00415	0,00348	0,0086	0,02073
19393,34738	0,00438	0,00107	0,00415	0,00325	0,00893	0,021
19383,58279	0,00443	0,00102	0,00414	0,00301	0,00919	0,02128
19373,82833	0,00448	0,00102	0,00411	0,00283	0,00934	0,02156
19364,084	0,0045	0,00109	0,0041	0,00272	0,00938	0,02184
19354,34977	0,00451	0,00121	0,00412	0,00272	0,00932	0,02212
19344,62565	0,0045	0,00138	0,00416	0,00284	0,00918	0,02239
19334,9116	0,00447	0,00162	0,00422	0,00307	0,00899	0,02268
19325,20761	0,00443	0,0019	0,00431	0,00337	0,0088	0,02297
19315,51367	0,00438	0,00224	0,0044	0,00371	0,00867	0,02329
19305,82977	0,00432	0,00259	0,00447	0,00402	0,00865	0,02364
19296,15588	0,00426	0,00296	0,00453	0,00427	0,00877	0,02403
19286,49199	0,00419	0,0033	0,00457	0,0044	0,00904	0,02447
19276,83809	0,00411	0,0036	0,00459	0,00443	0,00946	0,02493
19267,19415	0,00402	0,00383	0,00461	0,00435	0,00999	0,02541
19257,56017	0,00391	0,00399	0,00465	0,00421	0,01055	0,02585
19247,93613	0,00381	0,00407	0,00472	0,00407	0,01108	0,02622
19238,32201	0,00371	0,00409	0,00485	0,00398	0,01151	0,02647
19228,7178	0,00364	0,00406	0,00503	0,00402	0,01179	0,02655
19219,12349	0,00364	0,004	0,00525	0,00421	0,0119	0,02646
19209,53905	0,00372	0,00392	0,0055	0,00456	0,01186	0,02618
19199,96447	0,0039	0,00385	0,00573	0,00505	0,01172	0,02574
19190,39975	0,00418	0,00378	0,00591	0,00565	0,01154	0,02519
19180,84485	0,00455	0,00372	0,00603	0,00629	0,01143	0,02459
19171,29977	0,00498	0,00366	0,00607	0,00691	0,01143	0,02401
19161,76449	0,00542	0,00361	0,00603	0,00745	0,0116	0,0235
19152,239	0,00582	0,00356	0,00594	0,00785	0,01194	0,02313
19142,72328	0,00614	0,00352	0,00584	0,00811	0,01242	0,02293
19133,21732	0,00633	0,00352	0,00577	0,0082	0,01298	0,02291
19123,7211	0,00637	0,00357	0,00576	0,00815	0,01353	0,02307
19114,23461	0,00629	0,0037	0,00586	0,00799	0,01402	0,02342
19104,75783	0,0061	0,00391	0,00607	0,00776	0,01439	0,02393
19095,29074	0,00584	0,0042	0,0064	0,00751	0,01462	0,02459
19085,83334	0,00559	0,00456	0,00681	0,00727	0,01472	0,0254
19076,3856	0,00537	0,00497	0,00727	0,0071	0,01476	0,02632
19066,94752	0,00525	0,00539	0,00773	0,00702	0,01477	0,02733
19057,51908	0,00524	0,00578	0,00816	0,00707	0,01483	0,02839
19048,10025	0,00534	0,00611	0,00851	0,00725	0,01495	0,02943
19038,69104	0,00556	0,00634	0,00876	0,00757	0,01517	0,03039
19029,29142	0,00587	0,00648	0,0089	0,00801	0,01546	0,03119
19019,90138	0,00623	0,00652	0,00894	0,00853	0,01578	0,03178
19010,5209	0,00661	0,0065	0,00889	0,00909	0,01609	0,03214
19001,14997	0,00699	0,00644	0,00877	0,00962	0,01635	0,03225
18991,78858	0,00734	0,00638	0,0086	0,01007	0,01654	0,03217
18982,43671	0,00764	0,00636	0,00841	0,01037	0,01666	0,03198
18973,09434	0,00788	0,00641	0,00821	0,01051	0,01675	0,03176
18963,76147	0,00807	0,00654	0,00804	0,01047	0,01685	0,03162
18954,43807	0,0082	0,00675	0,00791	0,01029	0,017	0,03164
18945,12413	0,00829	0,007	0,00784	0,01002	0,01723	0,03187
18935,81965	0,00835	0,00727	0,00785	0,00973	0,01756	0,03231
18926,52459	0,00838	0,00752	0,00795	0,00949	0,01797	0,03292
18917,23896	0,00841	0,0077	0,00816	0,00936	0,01844	0,03366
18907,96273	0,00845	0,0078	0,00848	0,00939	0,01894	0,03442
18898,6959	0,0085	0,0078	0,00889	0,00958	0,01942	0,03515
18889,43844	0,00858	0,00773	0,00936	0,00992	0,01987	0,03578
18880,19034	0,00869	0,00761	0,00987	0,01036	0,02029	0,03628
18870,95159	0,00883	0,0075	0,01036	0,01087	0,02068	0,03667
18861,72218	0,009	0,00745	0,01081	0,0114	0,02107	0,03696
