fwhm	896.7896389624932-20°C	896.7896389624932-30°C	896.7896389624932-40°C	896.7896389624932-50°C	896.7896389624932-60°C	896.7896389624932-70°C
1.999839949999999953e+04	8.289470703271557372e-05	9.756037260795185208e-05	1.299809598004750993e-04	1.491256374529621395e-04	3.197694135885392514e-04	8.506692305526887803e-04
1.998799624000000040e+04	8.714008851080829756e-05	1.024552016943785051e-04	1.362643032283758211e-04	1.562037786106335903e-04	3.333962403750372213e-04	8.816555460742348362e-04
1.997760411999999997e+04	9.158419492394229882e-05	1.075740885858998160e-04	1.428238251691413881e-04	1.635868699536918637e-04	3.475444833080512728e-04	9.136369476745936436e-04
1.996722313999999824e+04	9.623534719064002346e-05	1.129261818658470036e-04	1.496702968843084192e-04	1.712865377222869308e-04	3.622314880069526870e-04	9.466403377767697736e-04
1.995685327999999936e+04	1.011021763334038877e-04	1.185209617537868906e-04	1.568148608445589596e-04	1.793147989150131630e-04	3.774751015732739890e-04	9.806932382395254760e-04
1.994649451000000045e+04	1.061936294042905860e-04	1.243682457763372966e-04	1.642690356691209861e-04	1.876840657267647163e-04	3.932936717352470877e-04	1.015823772639991599e-03
1.993614682000000175e+04	1.115189639118907610e-04	1.304781812378320676e-04	1.720447042629298152e-04	1.964071311415953097e-04	4.097060106899333377e-04	1.052060571470274809e-03
1.992581019999999990e+04	1.170877656996624602e-04	1.368612646217579130e-04	1.801541362938258856e-04	2.054971930918075861e-04	4.267314320489184695e-04	1.089432840653573216e-03
1.991548461999999927e+04	1.229099697730512625e-04	1.435283642743564461e-04	1.886100146332238844e-04	2.149678829547972659e-04	4.443897949110043742e-04	1.127970443232733993e-03
1.990517007000000012e+04	1.289958482895101901e-04	1.504907054295002457e-04	1.974254139214358513e-04	2.248332403746704385e-04	4.627014473969532932e-04	1.167703760741421867e-03
1.989486652999999933e+04	1.353560365619894078e-04	1.577598987662859418e-04	2.066138343655171293e-04	2.351077499621277429e-04	4.816872858393247687e-04	1.208663808153117355e-03
1.988457398000000103e+04	1.420015377021641232e-04	1.653479444457849122e-04	2.161892043152046608e-04	2.458063429664446298e-04	5.013687481554297267e-04	1.250882204154510173e-03
1.987429239999999845e+04	1.489437327013995124e-04	1.732672423467724579e-04	2.261658906529627456e-04	2.569444076803369700e-04	5.217678234121755953e-04	1.294391176890502450e-03
1.986402178999999887e+04	1.561943762482024232e-04	1.815305860173767739e-04	2.365586886540990447e-04	2.685377769233309613e-04	5.429070194932574022e-04	1.339223480934043087e-03
1.985376210999999967e+04	1.637656491507594745e-04	1.901512211036258894e-04	2.473828928771234039e-04	2.806028058892525963e-04	5.648094953634139092e-04	1.385412663226012232e-03
1.984351335000000108e+04	1.716701202731025545e-04	1.991428005890302083e-04	2.586542381450505890e-04	2.931563050158998360e-04	5.874989284591815991e-04	1.432992766217845368e-03
1.983327549999999974e+04	1.799207769708841139e-04	2.085194181208672212e-04	2.703889387939436661e-04	3.062155825114434675e-04	6.109995825070493056e-04	1.481998457748709809e-03
1.982304853000000003e+04	1.885310530853517895e-04	2.182956384027126616e-04	2.826037239128302656e-04	3.197984822464086489e-04	6.353363653556305321e-04	1.532465135985848883e-03
1.981283242999999857e+04	1.975148077592522877e-04	2.284864716828164972e-04	2.953158026021405515e-04	3.339233437624120580e-04	6.605347467302195982e-04	1.584428742839960906e-03
1.980262718999999925e+04	2.068863516282108803e-04	2.391074020760577642e-04	3.085428966022656051e-04	3.486090372617430574e-04	6.866208110754916903e-04	1.637925859845858504e-03
1.979243277999999918e+04	2.166604776654958099e-04	2.501744210216193492e-04	3.223032790283812590e-04	3.638750052293815928e-04	7.136213208129284181e-04	1.692993822108702570e-03
1.978224918999999863e+04	2.268524359741490239e-04	2.617039972033825975e-04	3.366157339655001003e-04	3.797412161895769370e-04	7.415636236336740949e-04	1.749670513053751221e-03
1.977207640000000174e+04	2.374779732217952976e-04	2.737131196891063635e-04	3.514996071711868264e-04	3.962282195832832394e-04	7.704757391741357030e-04	1.807994526782110388e-03
1.976191439000000173e+04	2.485533355209930319e-04	2.862192996038275244e-04	3.669748050687098853e-04	4.133571432051249433e-04	8.003863434709179844e-04	1.868005120651978915e-03
1.975176314999999886e+04	2.600952688340986549e-04	2.992405690314363788e-04	3.830617903755448761e-04	4.311496869586714542e-04	8.313247474899196094e-04	1.929742157625611264e-03
1.974162266000000091e+04	2.721210528649315678e-04	3.127955176792760091e-04	3.997816243646513837e-04	4.496281681851306295e-04	8.633209653820055583e-04	1.993246228111110029e-03
1.973149290000000110e+04	2.846485031370681170e-04	3.269032935648752327e-04	4.171559645014836170e-04	4.688155175516333078e-04	8.964056960292167593e-04	2.058558597209479615e-03
1.972137385999999969e+04	2.976959702727815008e-04	3.415836005818823073e-04	4.352070583197717641e-04	4.887352708376362966e-04	9.306102980961942226e-04	2.125721140951948151e-03
1.971126551000000109e+04	3.112823909520334069e-04	3.568567541809589626e-04	4.539578086980139405e-04	5.094116394909859683e-04	9.659669001953049769e-04	2.194776547789906163e-03
1.970116785000000164e+04	3.254272347030752661e-04	3.727436198419326963e-04	4.734316950179245746e-04	5.308694221568927788e-04	1.002508238146057173e-03	2.265767984930907360e-03
1.969108084999999846e+04	3.401505973557405029e-04	3.892657164131120692e-04	4.936528967339171795e-04	5.531341394159436809e-04	1.040267874095881498e-03	2.338739511247889345e-03
1.968100449999999910e+04	3.554731452951101207e-04	4.064451517334481418e-04	5.146462110602596611e-04	5.762319415174530510e-04	1.079280027717412736e-03	2.413735733458548856e-03
1.967093878000000041e+04	3.714161708207178235e-04	4.243046830360128088e-04	5.364371236083613536e-04	6.001896846513165391e-04	1.119579694535167112e-03	2.490802020735577611e-03
1.966088366999999926e+04	3.880015916271181871e-04	4.428677145585595666e-04	5.590518019938586639e-04	6.250349223202452493e-04	1.161202619514027385e-03	2.569984438027336608e-03
1.965083915999999954e+04	4.052519465993047187e-04	4.621582910860936536e-04	5.825170846191009581e-04	6.507958914902670436e-04	1.204185262676639532e-03	2.651329666418377959e-03
1.964080523000000176e+04	4.231904421361904443e-04	4.822011479977521015e-04	6.068605381967444139e-04	6.775015742215100261e-04	1.248564890818483616e-03	2.734885162772655864e-03
1.963078186999999889e+04	4.418409311815841363e-04	5.030216860071021244e-04	6.321104235581955335e-04	7.051816585622481745e-04	1.294379500707763461e-03	2.820698999654069113e-03
