peakcenter	17269.041071847205-20°C	17254.243167289234-30°C	17248.118550349533-40°C	17233.344376234996-50°C	17222.547452456358-60°C	17199.639830854983-70°C
1.999839949999999953e+04	8.289470703271557372e-05	8.261979793323310822e-05	8.250831835953414592e-05	8.223781691301660821e-05	8.204310478395104758e-05	8.163962708239082429e-05
1.998799624000000040e+04	8.714008851080829756e-05	8.685109996765120793e-05	8.673391099173644470e-05	8.644955590330078018e-05	8.624487167777280530e-05	8.582073008488775667e-05
1.997760411999999997e+04	9.158419492394229882e-05	9.128046783917979749e-05	9.115730219083010687e-05	9.085844494609184214e-05	9.064332181623909574e-05	9.019754903503555174e-05
1.996722313999999824e+04	9.623534719064002346e-05	9.591619486004200981e-05	9.578677407498120439e-05	9.547273899915087816e-05	9.524669060759999935e-05	9.477827883329365953e-05
1.995685327999999936e+04	1.011021763334038877e-04	1.007668834158822937e-04	1.006309174180004720e-04	1.003010006624657834e-04	1.000635203730578161e-04	9.957141978231460761e-05
1.994649451000000045e+04	1.061936294042905860e-04	1.058414508712952738e-04	1.056986375467668072e-04	1.053521060560615467e-04	1.051026662104959742e-04	1.045857834215717716e-04
1.993614682000000175e+04	1.115189639118907610e-04	1.111491240148260667e-04	1.109991487935620922e-04	1.106352392901957044e-04	1.103732904775738878e-04	1.098304870372744939e-04
1.992581019999999990e+04	1.170877656996624602e-04	1.166994568774683684e-04	1.165419922903367122e-04	1.161599102008995925e-04	1.158848804850476550e-04	1.153149712683073052e-04
1.991548461999999927e+04	1.229099697730512625e-04	1.225023514900744326e-04	1.223370566978881425e-04	1.219359750107417849e-04	1.216472691083460224e-04	1.210490206160059584e-04
1.990517007000000012e+04	1.289958482895101901e-04	1.285680459124593470e-04	1.283945662508572023e-04	1.279736244124877011e-04	1.276706228991290621e-04	1.270427516136738409e-04
1.989486652999999933e+04	1.353560365619894078e-04	1.349071401497756563e-04	1.347251066388264671e-04	1.342834093647209831e-04	1.339654678194620652e-04	1.333066384335968696e-04
1.988457398000000103e+04	1.420015377021641232e-04	1.415306007793186091e-04	1.413396296265241050e-04	1.408762456961681474e-04	1.405426938348033970e-04	1.398515174567394851e-04
1.987429239999999845e+04	1.489437327013995124e-04	1.484497709968618821e-04	1.482494630861845889e-04	1.477634241043109160e-04	1.474135648884336569e-04	1.466885971972934776e-04
1.986402178999999887e+04	1.561943762482024232e-04	1.556763664465875296e-04	1.554663068326168148e-04	1.549566060031101723e-04	1.545897147584150320e-04	1.538294541790463351e-04
1.985376210999999967e+04	1.637656491507594745e-04	1.632225274681291824e-04	1.630022847991738095e-04	1.624678755267377399e-04	1.620831989374921711e-04	1.612860845589997631e-04
1.984351335000000108e+04	1.716701202731025545e-04	1.711007811570880552e-04	1.708699071487987668e-04	1.703097017634841546e-04	1.699064569556077886e-04	1.690708666338598958e-04
1.983327549999999974e+04	1.799207769708841139e-04	1.793240716976585451e-04	1.790821005649444241e-04	1.784949689457741634e-04	1.780723424974841619e-04	1.771965908079499690e-04
1.982304853000000003e+04	1.885310530853517895e-04	1.879057882611879149e-04	1.876522361115823105e-04	1.870370042169758405e-04	1.865941511025761396e-04	1.856764871551207837e-04
1.981283242999999857e+04	1.975148077592522877e-04	1.968597438893681479e-04	1.965941081438426173e-04	1.959495566090346374e-04	1.954855991911928271e-04	1.945242045459171334e-04
1.980262718999999925e+04	2.068863516282108803e-04	2.062002015952917001e-04	2.059219603726300226e-04	2.052468230191255543e-04	2.047608499781402918e-04	2.037538364313162299e-04
1.979243277999999918e+04	2.166604776654958099e-04	2.159419051018989584e-04	2.156505165601760733e-04	2.149434788016486571e-04	2.144345439905310613e-04	2.133799512075802089e-04
1.978224918999999863e+04	2.268524359741490239e-04	2.261000537130934825e-04	2.257949554234306108e-04	2.250546527505410416e-04	2.245217741073117675e-04	2.234175673752239303e-04
1.977207640000000174e+04	2.374779732217952976e-04	2.366903416123837382e-04	2.363709498777730785e-04	2.355959662104027122e-04	2.350381245754251116e-04	2.338821923594193897e-04
1.976191439000000173e+04	2.485533355209930319e-04	2.477289607274866167e-04	2.473946698955586856e-04	2.465835359211472296e-04	2.459996738450012286e-04	2.447898253267611745e-04
1.975176314999999886e+04	2.600952688340986549e-04	2.592326011267090391e-04	2.588827828994362448e-04	2.580339744048069104e-04	2.574229949520976963e-04	2.561569575609337623e-04
1.974162266000000091e+04	2.721210528649315678e-04	2.712184847899397366e-04	2.708524874848383863e-04	2.699644235714006974e-04	2.693251890413405247e-04	2.680006058144542751e-04
1.973149290000000110e+04	2.846485031370681170e-04	2.837043676705570516e-04	2.833215154757384897e-04	2.823925567609819522e-04	2.817238873989257172e-04	2.803383143247169013e-04
1.972137385999999969e+04	2.976959702727815008e-04	2.967085389658523820e-04	2.963081311921847839e-04	2.953365780055512918e-04	2.946372507114271419e-04	2.931881540684150344e-04
1.971126551000000109e+04	3.112823909520334069e-04	3.102498718943806047e-04	3.098311821546423307e-04	3.088152725578539892e-04	3.080840194693207682e-04	3.065687729078466752e-04
1.970116785000000164e+04	3.254272347030752661e-04	3.243477706487310854e-04	3.239100461032549559e-04	3.228479540737859248e-04	3.220834612680467343e-04	3.204993431405234509e-04
1.969108084999999846e+04	3.401505973557405029e-04	3.390222635221603860e-04	3.385647239928634561e-04	3.374545572901620953e-04	3.366554632588447996e-04	3.349996534828801088e-04
1.968100449999999910e+04	3.554731452951101207e-04	3.542939473283270480e-04	3.538157844810301033e-04	3.526555826808020497e-04	3.518204769274081863e-04	3.500900541064070216e-04
1.967093878000000041e+04	3.714161708207178235e-04	3.701840425550802466e-04	3.696844189996217347e-04	3.684721513313704544e-04	3.675995728289526495e-04	3.657915110871337908e-04
1.966088366999999926e+04	3.880015916271181871e-04	3.867143928219446479e-04	3.861924412041683520e-04	3.849260043721005079e-04	3.840144400110546779e-04	3.821256058125694667e-04
1.965083915999999954e+04	4.052519465993047187e-04	4.039074606611902990e-04	4.033622827505113639e-04	4.020394987472174393e-04	4.010873817802468517e-04	3.991145307476515040e-04
1.964080523000000176e+04	4.231904421361904443e-04	4.217863736551741337e-04	4.212170393582608343e-04	4.198356531031246629e-04	4.188413614667584723e-04	4.167811349496630094e-04
1.963078186999999889e+04	4.418409311815841363e-04	4.403749035001005771e-04	4.397804498896416749e-04	4.383381269083643818e-04	4.372999815771258297e-04	4.351489032952341861e-04
1.962076904999999897e+04	4.612279822629633303e-04	4.596975347734716670e-04	4.590769650089717596e-04	4.575712888562856115e-04	4.564875520155154873e-04	4.542420243336310224e-04
1.961076675999999861e+04	4.813768187347892686e-04	4.797794043314729273e-04	4.791316866448041569e-04	4.775601564900748878e-04	4.764290298299117088e-04	4.740853302926353223e-04
1.960077497999999832e+04	5.023133887525669215e-04	5.006463709962541073e-04	4.999704375635303025e-04	4.983304655071552373e-04	4.971500883272321611e-04	4.947043658113734876e-04
1.959079371000000174e+04	5.240643165153177283e-04	5.223249668988567788e-04	5.216197127559444018e-04	5.199086212590066109e-04	5.186770686596731562e-04	5.161253397170402881e-04
1.958082290999999896e+04	5.466570460743628386e-04	5.448425407398594907e-04	5.441068224789747223e-04	5.423218412702653785e-04	5.410371219734129954e-04	5.383752664189401941e-04
1.957086258000000089e+04	5.701196809584300595e-04	5.682270978685484766e-04	5.674597325226067839e-04	5.655979959704912326e-04	5.642580504812690035e-04	5.614818077015073074e-04
1.956091269000000102e+04	5.944811548112186430e-04	5.925074702631528923e-04	5.917072339278207091e-04	5.897657777865309434e-04	5.883684761121451808e-04	5.854734404723670052e-04
1.955097323999999935e+04	6.197711040588592662e-04	6.177131895205741335e-04	6.168788161116012161e-04	6.148545746075834845e-04	6.133977142288869798e-04	6.103793310218671216e-04
1.954104420000000027e+04	6.460200291168616705e-04	6.438746474119853586e-04	6.430048271637598756e-04	6.408946294678751019e-04	6.393759328782184365e-04	6.362294933971214279e-04
1.953112556000000041e+04	6.732591838661812315e-04	6.710229855974964800e-04	6.701163636641526171e-04	6.679169306276678706e-04	6.663340430717853763e-04	6.630546801202464148e-04
1.952121730000000025e+04	7.015206669311924203e-04	6.991901864541341747e-04	6.982453613348261080e-04	6.959533018159337050e-04	6.943037887457409853e-04	6.908864715874043659e-04
1.951131941000000006e+04	7.308373811447940261e-04	7.284090325117372920e-04	7.274245544713800037e-04	7.250363616696712914e-04	7.233177062186574606e-04	7.197572355940748618e-04
1.950143187000000034e+04	7.612431051497444779e-04	7.587131776304604147e-04	7.576875469568804472e-04	7.551995943723922508e-04	7.534091945743767076e-04	7.497001972209275857e-04
1.949155466000000160e+04	7.927724812370824832e-04	7.901371346716778900e-04	7.890687998739841875e-04	7.864773371474618026e-04	7.846125030860361159e-04	7.807494261505781115e-04
1.948168777000000046e+04	8.254609964839106605e-04	8.227162564654661890e-04	8.216036124135259926e-04	8.189047610503522598e-04	8.169627119426220050e-04	8.129398172985729393e-04
1.947183118000000104e+04	8.593450614379422644e-04	8.564868139700994917e-04	8.553281998325626412e-04	8.525179484678926684e-04	8.504958094383496207e-04	8.463071674065527315e-04
1.946198487999999998e+04	8.944619587173970694e-04	8.914859447504063991e-04	8.902796418959804930e-04	8.873538415036648320e-04	8.852486403399736914e-04	8.808881234225664648e-04
1.945214884000000166e+04	9.308499645098560751e-04	9.277517737405382081e-04	9.264960033550131676e-04	9.234503618042961886e-04	9.212590252690493415e-04	9.167203010206771262e-04
1.944232305999999880e+04	9.685481821159097659e-04	9.653232469785637130e-04	9.640161677744790367e-04	9.608462446517344272e-04	9.585655950123138152e-04	9.538421194251531362e-04
1.943250750999999946e+04	1.007596779374184039e-03	1.004240367823450728e-03	1.002880073277610806e-03	9.995812736093292409e-04	9.972080244087010506e-04	9.922930337966028806e-04
1.942270218999999997e+04	1.048036773781100411e-03	1.044543982338874298e-03	1.043128498055501075e-03	1.039696066385545608e-03	1.037226818501617428e-03	1.032113322058366605e-03
1.941290707000000111e+04	1.089910287001704010e-03	1.086276032435728968e-03	1.084803312976477703e-03	1.081232326207527900e-03	1.078663563062184872e-03	1.073344333746803578e-03
1.940312213999999949e+04	1.133260358215718239e-03	1.129479369277569967e-03	1.127947295038401066e-03	1.124232655448088565e-03	1.121560738383379791e-03	1.116028304246032042e-03
1.939334737999999925e+04	1.178131084851591912e-03	1.174197892905930055e-03	1.172604266570464104e-03	1.168740693869751079e-03	1.165961856882088803e-03	1.160208491167664946e-03
1.938358279000000039e+04	1.224567501908221771e-03	1.220476431266961015e-03	1.218818974168007748e-03	1.214800997411709469e-03	1.211911341830508105e-03	1.205929053083184448e-03
1.937382833000000028e+04	1.272615882376577565e-03	1.268361038829686179e-03	1.266637386611826465e-03	1.262459334500239854e-03	1.259454822567509461e-03	1.253235342592663119e-03
1.936408399999999892e+04	1.322323373841871770e-03	1.317898633555650723e-03	1.316106332019568352e-03	1.311762323730015622e-03	1.308638772621719196e-03	1.302173545501495540e-03
1.935434977000000072e+04	1.373738356740873820e-03	1.369137352973750360e-03	1.367273853074701387e-03	1.362757787146682501e-03	1.359510861664972635e-03	1.352791030184247352e-03
1.934462565000000177e+04	1.426910100349453557e-03	1.422126210280324089e-03	1.420188863211677881e-03	1.415494406746263187e-03	1.412119612311036384e-03	1.405136005171685317e-03
1.933491159999999945e+04	1.481889261258700994e-03	1.476915589926763341e-03	1.474901641080141696e-03	1.470022216343932868e-03	1.466514890204585319e-03	1.459258005754515307e-03
1.932520761000000130e+04	1.538727474333611168e-03	1.533556838680390482e-03	1.531463421694370447e-03	1.526392193068140148e-03	1.522747495851410355e-03	1.515207486712879170e-03
1.931551367000000027e+04	1.597477527724858746e-03	1.592102438600709758e-03	1.589926568638991549e-03	1.584656427847582925e-03	1.580869333970491607e-03	1.573035989552305954e-03
1.930582977000000028e+04	1.658193382859321366e-03	1.652606025377553614e-03	1.650344591796123377e-03	1.644868141818868566e-03	1.640933429062377009e-03	1.632796156588035234e-03
1.929615587999999843e+04	1.720930327114530414e-03	1.715122538725046258e-03	1.712772296880220270e-03	1.707081833958467004e-03	1.702994071794480292e-03	1.694541875031356981e-03
1.928649198999999862e+04	1.785744745164310598e-03	1.779707992606957513e-03	1.777265555277191076e-03	1.771353050174475936e-03	1.767106587683423252e-03	1.758328045121514789e-03
1.927683809000000110e+04	1.852694260800881324e-03	1.846419614456726570e-03	1.843881442286410093e-03	1.837738519390771930e-03	1.833327471771617262e-03	1.824210712223245162e-03
1.926719414999999935e+04	1.921837906480728612e-03	1.915316011801260297e-03	1.912678402644257250e-03	1.906296316637752291e-03	1.901714550127160935e-03	1.892247225402217837e-03
1.925756017000000065e+04	1.993235796085859879e-03	1.986456843648413441e-03	1.983715921440455665e-03	1.977085533068299959e-03	1.972326649375930573e-03	1.962495906337162303e-03
1.924793612999999823e+04	2.066949504180421154e-03	2.059903195608162128e-03	2.057054897663815676e-03	2.050166645966581408e-03	2.045223964357659359e-03	2.035016412550143521e-03
1.923832200999999986e+04	2.143041958170545987e-03	2.135717469385150190e-03	2.132757532717329766e-03	2.125601405187256977e-03	2.120467943270817803e-03	2.109869620336130448e-03
1.922871779999999853e+04	2.221577385451898017e-03	2.213963326792006431e-03	2.210887273273264616e-03	2.203452773521585601e-03	2.198121226464212763e-03	2.187117560799576622e-03
1.921912349000000177e+04	2.302621417704649436e-03	2.294705790032142752e-03	2.291508910053006304e-03	2.283785022184888023e-03	2.278247739793853519e-03	2.266823509356352510e-03
1.920953904999999941e+04	2.386241301645813245e-03	2.378011447692727261e-03	2.374688782026436896e-03	2.366663931054520126e-03	2.360912892273124043e-03	2.349052178639085206e-03
1.919996446999999898e+04	2.472505597412591460e-03	2.463948149924395908e-03	2.460494470429559159e-03	2.452156480264772436e-03	2.446183266191475757e-03	2.433869406186777318e-03
1.919039975000000049e+04	2.561484283103115326e-03	2.552585107907220496e-03	2.548994896326690560e-03	2.540330943596018094e-03	2.534126707800617422e-03	2.521342240237612557e-03
1.918084485000000132e+04	2.653249268243278603e-03	2.643993400219838037e-03	2.640260824277851012e-03	2.631257386096680362e-03	2.624812820928737120e-03	2.611539425846400204e-03
1.917129977000000144e+04	2.747873693820649006e-03	2.738245270000612842e-03	2.734364158495220399e-03	2.725006958275788451e-03	2.718312260078248506e-03	2.704530696469642937e-03
1.916176449000000139e+04	2.845432541033152476e-03	2.835414725317529205e-03	2.831378540018349762e-03	2.821652486118702598e-03	2.814697315686592437e-03	2.800387350312874297e-03
1.915223900000000140e+04	2.946002392400796834e-03	2.935577294671436969e-03	2.931379100138911068e-03	2.921268220049152813e-03	2.914041660266171192e-03	2.899181991548345407e-03
1.914272327999999834e+04	3.049661691387302830e-03	3.038810278501628739e-03	3.034442708838134065e-03	3.023930076581856068e-03	3.016420585616443484e-03	3.000988759375947546e-03
1.913321731999999975e+04	3.156490590231376871e-03	3.145192589979757102e-03	3.140647812951874538e-03	3.129715470782060398e-03	3.121910831628261791e-03	3.105883150328192857e-03
1.912372109999999884e+04	3.266571231582698562e-03	3.254805027218676469e-03	3.250074704810674165e-03	3.238703577005416865e-03	3.230590841846318981e-03	3.213942264314846066e-03
1.911423460999999952e+04	3.379987592238872622e-03	3.367730108744277674e-03	3.362805354614084152e-03	3.350975154525803572e-03	3.342540584756006385e-03	3.325244618145228783e-03
1.910475782999999865e+04	3.496825789066405812e-03	3.484052368502238775e-03	3.478923701299334228e-03	3.466612829232457865e-03	3.457841829460726359e-03	3.439870410119828543e-03
1.909529074000000037e+04	3.617174048609490475e-03	3.603858315226131370e-03	3.598515608048552094e-03	3.585701040660906232e-03	3.576578087207648617e-03	3.557901451576341890e-03
1.908583334000000104e+04	3.741122527494262617e-03	3.727236242568658393e-03	3.721668668552853294e-03	3.708325839796075725e-03	3.698834403716128472e-03	3.679420949353153902e-03
1.907638560000000143e+04	3.868764050563390077e-03	3.854276951937614035e-03	3.848472924007890084e-03	3.834575593005107915e-03	3.824698054448200362e-03	3.804514184881264104e-03
1.906694752000000153e+04	4.000193424157996031e-03	3.985073056138209099e-03	3.979020163154801080e-03	3.964540274314120802e-03	3.954257831944407546e-03	3.933267792851296608e-03
1.905751907999999821e+04	4.135508209240664271e-03	4.119719735175566243e-03	4.113404671462928854e-03	4.098312199776200579e-03	4.087604770359270188e-03	4.065770467370445097e-03
1.904810024999999951e+04	4.274808730095432628e-03	4.258314730113578993e-03	4.251723219355378267e-03	4.235986003242623796e-03	4.224832113074581362e-03	4.202112914621981485e-03
1.903869104000000152e+04	4.418197449429991930e-03	4.400957705717950703e-03	4.394074420152582414e-03	4.377657984049121778e-03	4.366034653760321460e-03	4.342387182046669909e-03
1.902929142000000138e+04	4.565780286251486242e-03	4.547751544928227592e-03	4.540560015561640426e-03	4.523427372292384424e-03	4.511309988153663735e-03	4.486687884683899542e-03
1.901990137999999934e+04	4.717665868869428888e-03	4.698801587819717226e-03	4.691284109327331468e-03	4.673395550861845181e-03	4.660757728562381179e-03	4.635111406123630304e-03
1.901052089999999953e+04	4.873966150689892397e-03	4.854216225178906510e-03	4.846353752297629866e-03	4.827666621462879844e-03	4.814480057243167993e-03	4.787756428261191050e-03
1.900114996999999858e+04	5.034796254158742899e-03	5.014106723143302129e-03	5.005878759693175618e-03	4.986347205517403791e-03	4.972581516516431412e-03	4.944723701504575609e-03
1.899178858000000037e+04	5.200274804776821094e-03	5.178587533999467162e-03	5.169972013006106717e-03	5.149546726168112258e-03	5.135169277567758032e-03	5.106116288950352314e-03
1.898243671000000177e+04	5.370524308304136345e-03	5.347776648429137906e-03	5.338749802669105933e-03	5.317377729512805934e-03	5.302353447437684227e-03	5.272039846757206952e-03
1.897309433999999965e+04	5.545671194421145263e-03	5.521795614806245325e-03	5.512331838000900965e-03	5.489955873650201150e-03	5.474247044195422289e-03	5.442602573461254555e-03
1.896376147000000128e+04	5.725845647611712760e-03	5.700769345953766130e-03	5.690841044690521551e-03	5.667399705437449822e-03	5.650965759931527409e-03	5.617914947307607251e-03
1.895443807000000015e+04	5.911182795943449239e-03	5.884827273389716708e-03	5.874404705731212789e-03	5.849831771428268268e-03	5.832629051613994961e-03	5.798090779188692402e-03
1.894512413000000015e+04	6.101822013976137757e-03	6.074102626560126325e-03	6.063153731531936534e-03	6.037377867605608905e-03	6.019359377282873513e-03	5.983246423626641802e-03
1.893581965000000127e+04	6.297907349146145313e-03	6.268732826979125754e-03	6.257223041599006483e-03	6.230167393003251466e-03	6.211282530879684224e-03	6.173501078153236996e-03
1.892652459000000090e+04	6.499588879947336070e-03	6.468860805118083201e-03	6.456752865466357932e-03	6.428334614592438531e-03	6.408528882932768705e-03	6.368977978136906165e-03
1.891723895999999877e+04	6.707021112518981622e-03	6.674633376366699219e-03	6.661887110637185194e-03	6.632017017259760928e-03	6.611231718540530426e-03	6.569802712353416292e-03
1.890796272999999928e+04	6.920365247481328336e-03	6.886203456323695439e-03	6.872775557919074893e-03	6.841357453936346145e-03	6.819529357050332398e-03	6.776105284696986621e-03
1.889869589999999880e+04	7.139787981779849996e-03	7.103728836343269071e-03	7.089572626704822300e-03	7.056502887701610223e-03	7.033563878558512020e-03	6.988018811159088170e-03
1.888943844000000172e+04	7.365463261998817651e-03	7.327373884932056325e-03	7.312439056221255521e-03	7.277606027342546462e-03	7.253482728641801741e-03	7.205681065785245545e-03
1.888019034000000102e+04	7.597571513449617904e-03	7.557308744454890523e-03	7.541541089553985451e-03	7.504824482584499488e-03	7.479437854086508353e-03	7.429233579182811451e-03
1.887095159000000058e+04	7.836300512452144124e-03	7.793710155617205454e-03	7.777051279486781911e-03	7.738321527536658716e-03	7.711586437616818092e-03	7.658822318284303453e-03
1.886172218000000066e+04	8.081845830321832819e-03	8.036761855462976403e-03	8.019148868509679354e-03	7.978266439722025635e-03	7.950091209100680623e-03	7.894597944169138432e-03
1.885250207999999839e+04	8.334411859249319168e-03	8.286655549371869586e-03	8.268020739758802015e-03	8.224835403037276949e-03	8.195121315929884340e-03	8.136716619891340083e-03
1.884329130000000077e+04	8.594210674514551548e-03	8.543589740640124622e-03	8.523860233611549667e-03	8.478210294460230417e-03	8.446851089152090236e-03	8.385338736579062494e-03
1.883408980000000156e+04	8.861465046696534453e-03	8.807772664327933113e-03	8.786870051006513693e-03	8.738581517844356411e-03	8.705462830113485512e-03	8.640631609561910675e-03
1.882489758000000074e+04	9.136406478104442883e-03	9.079420297591681704e-03	9.057260253164558031e-03	9.006145978857750187e-03	8.971144768025976490e-03	8.902767401487158422e-03
1.881571462999999858e+04	9.419277175991936507e-03	9.358758262567519817e-03	9.335250136889345143e-03	9.281108897148894823e-03	9.244092829041610296e-03	9.171924808079134558e-03
1.880654091999999946e+04	9.710331032529285686e-03	9.646022743693419971e-03	9.621069127180149547e-03	9.563684642192628316e-03	9.524511433164758664e-03	9.448289779384106205e-03
1.879737644999999975e+04	1.000983270859895184e-02	9.941459532517391007e-03	9.914955806280722345e-03	9.854095725493729543e-03	9.812612460637588907e-03	9.732054434815973556e-03
1.878822120999999970e+04	1.031805953411398837e-02	1.024532585245145101e-02	1.021715970863836323e-02	1.015257452702648076e-02	1.010861693134248833e-02	1.002341865097762345e-02
1.877907517000000007e+04	1.063530261880723388e-02	1.055789140065466203e-02	1.052794233545589937e-02	1.045936424665705120e-02	1.041275591264901809e-02	1.032259088414823854e-02
1.876993832000000111e+04	1.096186625179090650e-02	1.087943770296245956e-02	1.084757649145459517e-02	1.077471819811262957e-02	1.072526978314783212e-02	1.062978737326757649e-02
1.876081065999999919e+04	1.129806894929180801e-02	1.121025909430961587e-02	1.117634723838982144e-02	1.109890069990485811e-02	1.104640908001149231e-02	1.094523290111892866e-02
1.875169215999999869e+04	1.164424575084461663e-02	1.155066492486372248e-02	1.151455406551671855e-02	1.143218916341520383e-02	1.137643653023032858e-02	1.126916271413821655e-02
1.874258281999999963e+04	1.200074685654616696e-02	1.190097816545956921e-02	1.186250948145080482e-02	1.177487265159036026e-02	1.171562558491495883e-02	1.160182100555791872e-02
1.873348260999999911e+04	1.236794079006192475e-02	1.226153846430433694e-02	1.222054202881446214e-02	1.212725479647393419e-02	1.206426326983392298e-02	1.194346363462730522e-02
1.872439153000000078e+04	1.274621296793235735e-02	1.263270068819208336e-02	1.258899481308842737e-02	1.248965229711380097e-02	1.242264865999244232e-02	1.229435655100001058e-02
1.871530956000000151e+04	1.313596864050152989e-02	1.301483775875210760e-02	1.296822829720423176e-02	1.286239761747080476e-02	1.279109551043030972e-02	1.265477829299998212e-02
1.870623669000000154e+04	1.353763266294126522e-02	1.340834037589331423e-02	1.335862000497891298e-02	1.324583864130472050e-02	1.316993187568036607e-02	1.302501953319661065e-02
1.869717291000000114e+04	1.395165091414589560e-02	1.381361835995442017e-02	1.376056583202797494e-02	1.364033990917795994e-02	1.355950129431468532e-02	1.340538415668724240e-02
1.868811819000000105e+04	1.437849231019668050e-02	1.423110257426997080e-02	1.417448193157723468e-02	1.404628441776602406e-02	1.396016452722508017e-02	1.379619087653653590e-02
