Wavenumber	20°C	30°C	40°C	50°C	60°C	70°C
1.999839949999999953e+04	8.289470703271557372e-05	9.737704742522722420e-05	1.414193948962557193e-04	1.747695976201641235e-04	3.955030817006337370e-04	1.149540723813702228e-03
1.998799624000000040e+04	8.714008851080829756e-05	1.022752149118551771e-04	1.482534461883090022e-04	1.830423327157965237e-04	4.122868783136581210e-04	1.191027355344094528e-03
1.997760411999999997e+04	9.158419492394229882e-05	1.073982593016390027e-04	1.553877673572191299e-04	1.916703511333906602e-04	4.297096977590068390e-04	1.233831210146163395e-03
1.996722313999999824e+04	9.623534719064002346e-05	1.127553957025277383e-04	1.628340637389338831e-04	2.006671449156808499e-04	4.477926635661946928e-04	1.277987357961844154e-03
1.995685327999999936e+04	1.011021763334038877e-04	1.183561747291982899e-04	1.706044438278166294e-04	2.100466573671469104e-04	4.665575050735370154e-04	1.323531660127797230e-03
1.994649451000000045e+04	1.061936294042905860e-04	1.242104883495690675e-04	1.787114246208527653e-04	2.198232879994204401e-04	4.860265559226952187e-04	1.370500744732897286e-03
1.993614682000000175e+04	1.115189639118907610e-04	1.303285625156258792e-04	1.871679186878690427e-04	2.300118754639753657e-04	5.062227091177785680e-04	1.418931878817534381e-03
1.992581019999999990e+04	1.170877656996624602e-04	1.367209767586916210e-04	1.959872585886206014e-04	2.406277255356267613e-04	5.271694620663724355e-04	1.468863059004439945e-03
1.991548461999999927e+04	1.229099697730512625e-04	1.433986870857996442e-04	2.051832255975225190e-04	2.516866441394361147e-04	5.488909703368744473e-04	1.520333119525367482e-03
1.990517007000000012e+04	1.289958482895101901e-04	1.503730111660822784e-04	2.147700263608915837e-04	2.632049076877916380e-04	5.714119777184700636e-04	1.573381545919568881e-03
1.989486652999999933e+04	1.353560365619894078e-04	1.576556571198749061e-04	2.247623296201806380e-04	2.751993056725968861e-04	5.947578885586373787e-04	1.628048627496261544e-03
1.988457398000000103e+04	1.420015377021641232e-04	1.652587277572683166e-04	2.351752689784083507e-04	2.876871423406573937e-04	6.189547591101924673e-04	1.684375416481612110e-03
1.987429239999999845e+04	1.489437327013995124e-04	1.731947310304013832e-04	2.460244541630026848e-04	3.006862485588899288e-04	6.440293087867835333e-04	1.742403734545087089e-03
1.986402178999999887e+04	1.561943762482024232e-04	1.814765741702021825e-04	2.573259599618739151e-04	3.142149669235187888e-04	6.700088799165459163e-04	1.802176060965552220e-03
1.985376210999999967e+04	1.637656491507594745e-04	1.901176224501673734e-04	2.690964032726277208e-04	3.282922423086052487e-04	6.969215997668229889e-04	1.863735886040252280e-03
1.984351335000000108e+04	1.716701202731025545e-04	1.991316545400978368e-04	2.813528788809905126e-04	3.429375432177639836e-04	7.247962170121372005e-04	1.927127314051078812e-03
1.983327549999999974e+04	1.799207769708841139e-04	2.085328961197537208e-04	2.941130020973678331e-04	3.581709110998149452e-04	7.536621845391195491e-04	1.992395235295425608e-03
1.982304853000000003e+04	1.885310530853517895e-04	2.183360505740230423e-04	3.073949470288319871e-04	3.740130042188087589e-04	7.835497298920975290e-04	2.059585464546592661e-03
1.981283242999999857e+04	1.975148077592522877e-04	2.285562736402509598e-04	3.212174087518361956e-04	3.904850506675356910e-04	8.144897536543685684e-04	2.128744491279640355e-03
1.980262718999999925e+04	2.068863516282108803e-04	2.392092020325335992e-04	3.355996387394274624e-04	4.076088888382250856e-04	8.465138937554331786e-04	2.199919606140974052e-03
1.979243277999999918e+04	2.166604776654958099e-04	2.503109872374245214e-04	3.505614869218443095e-04	4.254070155896871896e-04	8.796546024796835514e-04	2.273159051153082061e-03
1.978224918999999863e+04	2.268524359741490239e-04	2.618782655835433324e-04	3.661233576924590848e-04	4.439025319524031671e-04	9.139450319987183369e-04	2.348511745275144724e-03
1.977207640000000174e+04	2.374779732217952976e-04	2.739282017572740790e-04	3.823062649731939484e-04	4.631192067258620235e-04	9.494191400911329874e-04	2.426027498992937119e-03
1.976191439000000173e+04	2.485533355209930319e-04	2.864784907338659278e-04	3.991318310494326098e-04	4.830814730820114501e-04	9.861116703442664427e-04	2.505756949770680548e-03
1.975176314999999886e+04	2.600952688340986549e-04	2.995473569242751259e-04	4.166222817424721360e-04	5.038144208738253721e-04	1.024058125092125243e-03	2.587751484011315949e-03
1.974162266000000091e+04	2.721210528649315678e-04	3.131535912258130868e-04	4.348004922773278944e-04	5.253438490257213113e-04	1.063294848383522289e-03	2.672063397405803706e-03
1.973149290000000110e+04	2.846485031370681170e-04	3.273165519761820144e-04	4.536899846249003976e-04	5.476962602803946449e-04	1.103859002534037870e-03	2.758745823218628629e-03
1.972137385999999969e+04	2.976959702727815008e-04	3.420561627701792042e-04	4.733149207487826263e-04	5.708988511603221502e-04	1.145788536716379471e-03	2.847852646067012064e-03
1.971126551000000109e+04	3.112823909520334069e-04	3.573929686308051183e-04	4.937001734694448831e-04	5.949795936566711681e-04	1.189122321138520863e-03	2.939438767558138522e-03
1.970116785000000164e+04	3.254272347030752661e-04	3.733480744984768495e-04	5.148712406360788502e-04	6.199671316637222649e-04	1.233899946653720580e-03	3.033559661917264831e-03
1.969108084999999846e+04	3.401505973557405029e-04	3.899432492745091459e-04	5.368543793436024491e-04	6.458909373523675839e-04	1.280161992355972498e-03	3.130271921768486634e-03
1.968100449999999910e+04	3.554731452951101207e-04	4.072008614468593528e-04	5.596765163095044271e-04	6.727812031404408919e-04	1.327949817696336349e-03	3.229632800288907701e-03
1.967093878000000041e+04	3.714161708207178235e-04	4.251439400331134214e-04	5.833653245178687091e-04	7.006689298977373647e-04	1.377305706401838609e-03	3.331700493699045126e-03
1.966088366999999926e+04	3.880015916271181871e-04	4.437961724639822138e-04	6.079492161048470058e-04	7.295859162484402260e-04	1.428272832967157017e-03	3.436534050711639084e-03
1.965083915999999954e+04	4.052519465993047187e-04	4.631818983689419095e-04	6.334573299849851138e-04	7.595647417762762610e-04	1.480895219365544043e-03	3.544193264910208089e-03
1.964080523000000176e+04	4.231904421361904443e-04	4.833261601422370502e-04	6.599195941852469254e-04	7.906388380312278285e-04	1.535217846075994817e-03	3.654738883752124690e-03
1.963078186999999889e+04	4.418409311815841363e-04	5.042546778358113387e-04	6.873666884578516186e-04	8.228424422508912430e-04	1.591286556700054243e-03	3.768232394218434204e-03
1.962076904999999897e+04	4.612279822629633303e-04	5.259939250881422558e-04	7.158301395016396056e-04	8.562107067342280414e-04	1.649148234330778543e-03	3.884736360953088777e-03
1.961076675999999861e+04	4.813768187347892686e-04	5.485710593723678924e-04	7.453422250338808189e-04	8.907795838846920781e-04	1.708850587092336374e-03	4.004313972993052244e-03
1.960077497999999832e+04	5.023133887525669215e-04	5.720139989106527755e-04	7.759360701135705135e-04	9.265859367635552414e-04	1.770442326040949123e-03	4.127029384379182070e-03
1.959079371000000174e+04	5.240643165153177283e-04	5.963513664905492357e-04	8.076455693113653673e-04	9.636674455444542778e-04	1.833972989907664856e-03	4.252947345964925088e-03
1.958082290999999896e+04	5.466570460743628386e-04	6.216126487941910170e-04	8.405055898145119726e-04	1.002062842577054096e-03	1.899493333741740335e-03	4.382133957605964872e-03
1.957086258000000089e+04	5.701196809584300595e-04	6.478280153355582679e-04	8.745517309160390608e-04	1.041811628607722858e-03	1.967054828269879097e-03	4.514655657170481458e-03
1.956091269000000102e+04	5.944811548112186430e-04	6.750285076630532398e-04	9.098205656023483634e-04	1.082954352573235269e-03	2.036710123416502014e-03	4.650580117288416471e-03
1.955097323999999935e+04	6.197711040588592662e-04	7.032458954576181233e-04	9.463494490089766759e-04	1.125532385392807779e-03	2.108512649359743814e-03	4.789975444423087009e-03
1.954104420000000027e+04	6.460200291168616705e-04	7.325128548793032480e-04	9.841767449516500808e-04	1.169588181596031232e-03	2.182517044866205940e-03	4.932910996140515113e-03
1.953112556000000041e+04	6.732591838661812315e-04	7.628628435519139777e-04	1.023341659207441115e-03	1.215165082250532595e-03	2.258778809677590947e-03	5.079456686112370466e-03
1.952121730000000025e+04	7.015206669311924203e-04	7.943302007269474260e-04	1.063884364345203063e-03	1.262307457729011217e-03	2.337354530378550361e-03	5.229683403752034138e-03
1.951131941000000006e+04	7.308373811447940261e-04	8.269501004626350800e-04	1.105845934518566529e-03	1.311060629093025029e-03	2.418301734244675781e-03	5.383662715189096309e-03
1.950143187000000034e+04	7.612431051497444779e-04	8.607586296839420201e-04	1.149268441215462767e-03	1.361470976647757933e-03	2.501679055503062358e-03	5.541467162927694347e-03
1.949155466000000160e+04	7.927724812370824832e-04	8.957927729272362844e-04	1.194194928615837639e-03	1.413585908385367983e-03	2.587546167431768566e-03	5.703170116525806826e-03
1.948168777000000046e+04	8.254609964839106605e-04	9.320903897570400123e-04	1.240669379883511600e-03	1.467453818079247430e-03	2.675963699114482838e-03	5.868845598891114790e-03
1.947183118000000104e+04	8.593450614379422644e-04	9.696903005297302734e-04	1.288736822253341114e-03	1.523124204262705757e-03	2.766993416717455825e-03	6.038568609553689875e-03
1.946198487999999998e+04	8.944619587173970694e-04	1.008632227655942683e-03	1.338443246923791668e-03	1.580647574407589764e-03	2.860698051470922203e-03	6.212414784346681658e-03
1.945214884000000166e+04	9.308499645098560751e-04	1.048956928689640357e-03	1.389835774061382772e-03	1.640075632873309701e-03	2.957141591234124095e-03	6.390460918644189948e-03
1.944232305999999880e+04	9.685481821159097659e-04	1.090706010147864200e-03	1.442962410408757867e-03	1.701460997418538078e-03	3.056388804771962339e-03	6.572784068895112623e-03
1.943250750999999946e+04	1.007596779374184039e-03	1.133922188959732725e-03	1.497872377514821189e-03	1.764857575580999196e-03	3.158505837617011161e-03	6.759462634364780259e-03
1.942270218999999997e+04	1.048036773781100411e-03	1.178649052851598461e-03	1.554615801863755593e-03	1.830320203413737324e-03	3.263559613140129458e-03	6.950575238822209040e-03
1.941290707000000111e+04	1.089910287001704010e-03	1.224931340368974391e-03	1.613244065659080826e-03	1.897905047161446701e-03	3.371618464505250507e-03	7.146201867341179376e-03
1.940312213999999949e+04	1.133260358215718239e-03	1.272814732722970122e-03	1.673809537526700078e-03	1.967669289057424279e-03	3.482751614420921769e-03	7.346422899083827375e-03
1.939334737999999925e+04	1.178131084851591912e-03	1.322346007776680626e-03	1.736365762760937658e-03	2.039671343260583865e-03	3.597029506207195370e-03	7.551319690276782695e-03
1.938358279000000039e+04	1.224567501908221771e-03	1.373572905207953937e-03	1.800967288001153197e-03	2.113970650462074132e-03	3.714523462567739711e-03	7.760973943330494451e-03
1.937382833000000028e+04	1.272615882376577565e-03	1.426544456345469085e-03	1.867670072258020191e-03	2.190628146975825193e-03	3.835306412598149788e-03	7.975468986099683993e-03
1.936408399999999892e+04	1.322323373841871770e-03	1.481310581668271063e-03	1.936530974262065663e-03	2.269705671301805710e-03	3.959451937951230689e-03	8.194888050555067943e-03
1.935434977000000072e+04	1.373738356740873820e-03	1.537922484235548521e-03	2.007608243009209245e-03	2.351266524046071588e-03	4.087035140497755070e-03	8.419315796294837492e-03
1.934462565000000177e+04	1.426910100349453557e-03	1.596432269166134536e-03	2.080961034512583858e-03	2.435374909049417471e-03	4.218131750606340068e-03	8.648836717501665744e-03
1.933491159999999945e+04	1.481889261258700994e-03	1.656893490805102934e-03	2.156650093373600925e-03	2.522096711054305426e-03	4.352819326552741404e-03	8.883537229487049533e-03
1.932520761000000130e+04	1.538727474333611168e-03	1.719360700835335801e-03	2.234737180557427611e-03	2.611498834810904290e-03	4.491176205978302492e-03	9.123503806434809377e-03
1.931551367000000027e+04	1.597477527724858746e-03	1.783889639423711336e-03	2.315285308324217112e-03	2.703649470112889398e-03	4.633281904897382231e-03	9.368823663527309567e-03
1.930582977000000028e+04	1.658193382859321366e-03	1.850537255606919717e-03	2.398358760536019318e-03	2.798618110233807871e-03	4.779217129915685515e-03	9.619584756347795626e-03
1.929615587999999843e+04	1.720930327114530414e-03	1.919361873175801916e-03	2.484023293862107091e-03	2.896475776693274717e-03	4.929064105496718494e-03	9.875876317141289371e-03
1.928649198999999862e+04	1.785744745164310598e-03	1.990422938063746844e-03	2.572345817587278882e-03	2.997294647898053090e-03	5.082905986210244954e-03	1.013778782123427036e-02
1.927683809000000110e+04	1.852694260800881324e-03	2.063781172515466965e-03	2.663394580764791644e-03	3.101148267728299785e-03	5.240827161462405064e-03	1.040540948996721525e-02
1.926719414999999935e+04	1.921837906480728612e-03	2.139498759103989831e-03	2.757239394846997850e-03	3.208111793401900204e-03	5.402913613166392300e-03	1.067883286804762258e-02
1.925756017000000065e+04	1.993235796085859879e-03	2.217638980607996354e-03	2.853951181547187844e-03	3.318261473759344556e-03	5.569252105700093873e-03	1.095814942775888250e-02
1.924793612999999823e+04	2.066949504180421154e-03	2.298266633733950931e-03	2.953602480348160603e-03	3.431675221381557533e-03	5.739931035687897282e-03	1.124345197831245341e-02
1.923832200999999986e+04	2.143041958170545987e-03	2.381447909106764339e-03	3.056267293570547744e-03	3.548432428795184491e-03	5.915040132375781225e-03	1.153483412759967290e-02
1.922871779999999853e+04	2.221577385451898017e-03	2.467250331771779579e-03	3.162021007349702546e-03	3.668613871414177184e-03	6.094670293329031152e-03	1.183238998092103408e-02
1.921912349000000177e+04	2.302621417704649436e-03	2.555742873466255657e-03	3.270940524616427949e-03	3.792301851232739336e-03	6.278913781234324309e-03	1.213621444071520672e-02
1.920953904999999941e+04	2.386241301645813245e-03	2.646996180664055315e-03	3.383104539259305238e-03	3.919580499663174317e-03	6.467864652294885025e-03	1.244640387627145295e-02
1.919996446999999898e+04	2.472505597412591460e-03	2.741082243187406998e-03	3.498593121889241250e-03	4.050535298334726787e-03	6.661618020556234893e-03	1.276305487589004042e-02
1.919039975000000049e+04	2.561484283103115326e-03	2.838074506547502186e-03	3.617487852595720980e-03	4.185253221133146406e-03	6.860270251235722240e-03	1.308626453897602897e-02
1.918084485000000132e+04	2.653249268243278603e-03	2.938048429269789815e-03	3.739872497030614137e-03	4.323823490103899381e-03	7.063920050477376193e-03	1.341613220765245328e-02
1.917129977000000144e+04	2.747873693820649006e-03	3.041080717453091119e-03	3.865832061050285522e-03	4.466336493653978376e-03	7.272666845648271573e-03	1.375275679115072966e-02
1.916176449000000139e+04	2.845432541033152476e-03	3.147249985645255484e-03	3.995453593186629529e-03	4.612884684325512311e-03	7.486612082615768521e-03	1.409623883202502578e-02
1.915223900000000140e+04	2.946002392400796834e-03	3.256636493786115982e-03	4.128825854923387322e-03	4.763562193387805600e-03	7.705858632817277204e-03	1.444667950147189572e-02
1.914272327999999834e+04	3.049661691387302830e-03	3.369322426702665071e-03	4.266039653793823883e-03	4.918465194494788667e-03	7.930511296117598655e-03	1.480418135913800365e-02
1.913321731999999975e+04	3.156490590231376871e-03	3.485391725307300341e-03	4.407187629009561361e-03	5.077691647690747885e-03	8.160676398994363978e-03	1.516884766082426950e-02
1.912372109999999884e+04	3.266571231582698562e-03	3.604930389162670518e-03	4.552364610809962221e-03	5.241341690310363614e-03	8.396462330558809861e-03	1.554078315841058745e-02
1.911423460999999952e+04	3.379987592238872622e-03	3.728026302781257267e-03	4.701667399632266167e-03	5.409517372087352220e-03	8.637979127255201658e-03	1.592009338592581189e-02
1.910475782999999865e+04	3.496825789066405812e-03	3.854769563526604798e-03	4.855195154105811095e-03	5.582323075633897728e-03	8.885339044480463494e-03	1.630688550190317193e-02
1.909529074000000037e+04	3.617174048609490475e-03	3.985252443729968459e-03	5.013049333672574270e-03	5.759865433420701536e-03	9.138656399202872357e-03	1.670126797503196717e-02
1.908583334000000104e+04	3.741122527494262617e-03	4.119569191033626426e-03	5.175333446151416869e-03	5.942253025050699133e-03	9.398047102940803102e-03	1.710334979665094693e-02
1.907638560000000143e+04	3.868764050563390077e-03	4.257816822790876435e-03	5.342153995768082232e-03	6.129597422565305313e-03	9.663630110924026351e-03	1.751324266229918603e-02
1.906694752000000153e+04	4.000193424157996031e-03	4.400094375624484001e-03	5.513619563123332672e-03	6.322012134452268013e-03	9.935525878063735175e-03	1.793105850459190964e-02
1.905751907999999821e+04	4.135508209240664271e-03	4.546503736040305443e-03	5.689841793665069598e-03	6.519613692583486712e-03	1.021385785728991073e-02	1.835691173221349129e-02
1.904810024999999951e+04	4.274808730095432628e-03	4.697149641614536096e-03	5.870935381910368650e-03	6.722521608216302375e-03	1.049875238300805418e-02	1.879091895367334883e-02
1.903869104000000152e+04	4.418197449429991930e-03	4.852138997021693267e-03	6.057017233322780844e-03	6.930857406604040705e-03	1.079033726832042198e-02	1.923319675862284958e-02
1.902929142000000138e+04	4.565780286251486242e-03	5.011582289957008593e-03	6.248208148470110225e-03	7.144746485449635781e-03	1.108874436142402893e-02	1.968386552035231163e-02
1.901990137999999934e+04	4.717665868869428888e-03	5.175592773076238134e-03	6.444631820304537115e-03	7.364316960981609483e-03	1.139410786974830343e-02	2.014304674702809689e-02
