Wavenumber	Minor Gaussian	Major Gaussian
1.999839949999999953e+04	1.926072915897945508e-11	1.414193756355265586e-04
1.998799624000000040e+04	2.315139064833687132e-11	1.482534230369183398e-04
1.997760411999999997e+04	2.780312068644345203e-11	1.553877395540984301e-04
1.996722313999999824e+04	3.335977257080301846e-11	1.628340303791612836e-04
1.995685327999999936e+04	3.999141900914920634e-11	1.706044038363976260e-04
1.994649451000000045e+04	4.789894400933506456e-11	1.787113767219087311e-04
1.993614682000000175e+04	5.731938134593278729e-11	1.871678613684877050e-04
1.992581019999999990e+04	6.853217542677852828e-11	1.959871900564451699e-04
1.991548461999999927e+04	8.186649441858843158e-11	2.051831437310281140e-04
1.990517007000000012e+04	9.770967164134303846e-11	2.147699286512199312e-04
1.989486652999999933e+04	1.165171090055883873e-10	2.247622131030716343e-04
1.988457398000000103e+04	1.388237378734318969e-10	2.351751301546704993e-04
1.987429239999999845e+04	1.652573369641458957e-10	2.460242889056656816e-04
1.986402178999999887e+04	1.965539138861731558e-10	2.573257634079599825e-04
1.985376210999999967e+04	2.335757808570745610e-10	2.690961696968468793e-04
1.984351335000000108e+04	2.773320766834854816e-10	2.813526015489138297e-04
1.983327549999999974e+04	3.290027975395044438e-10	2.941126730945702798e-04
1.982304853000000003e+04	3.899666111590249948e-10	3.073945570622208467e-04
1.981283242999999857e+04	4.618326260920838139e-10	3.212169469192101257e-04
1.980262718999999925e+04	5.464773320958822730e-10	3.355990922620953804e-04
1.979243277999999918e+04	6.460872841361671098e-10	3.505608408345602133e-04
1.978224918999999863e+04	7.632076810659338874e-10	3.661225944847780033e-04
1.977207640000000174e+04	9.007988747182664035e-10	3.823053641743192200e-04
1.976191439000000173e+04	1.062300935291620116e-09	3.991307687484972958e-04
1.975176314999999886e+04	1.251707656379265158e-09	4.166210300348158289e-04
1.974162266000000091e+04	1.473651962536490637e-09	4.347990186253653379e-04
1.973149290000000110e+04	1.733503297609088493e-09	4.536882511216027846e-04
1.972137385999999969e+04	2.037478929861399549e-09	4.733128832698527502e-04
1.971126551000000109e+04	2.392772487738657289e-09	4.936977806969570321e-04
1.970116785000000164e+04	2.807698176064059053e-09	5.148684329379027902e-04
1.969108084999999846e+04	3.291859399317327488e-09	5.368510874842032316e-04
1.968100449999999910e+04	3.856336740657529072e-09	5.596726599727638212e-04
1.967093878000000041e+04	4.513905616374809112e-09	5.833608106122523422e-04
1.966088366999999926e+04	5.279282257877271048e-09	6.079439368225891252e-04
1.965083915999999954e+04	6.169402963870178496e-09	6.334511605820212490e-04
1.964080523000000176e+04	7.203743953848540312e-09	6.599123904412931407e-04
