Wavenumber	Major Gaussian	Minor Gaussian
1.999839949999999953e+04	6.315085513256375061e-11	1.149540660662847023e-03
1.998799624000000040e+04	7.495156157665833987e-11	1.191027280392533078e-03
1.997760411999999997e+04	8.888445984316413601e-11	1.233831121261703490e-03
1.996722313999999824e+04	1.053211471422811150e-10	1.277987252640696951e-03
1.995685327999999936e+04	1.246955469629748671e-10	1.323531535432250373e-03
1.994649451000000045e+04	1.475139273246458126e-10	1.370500597218969998e-03
1.993614682000000175e+04	1.743663899732528933e-10	1.418931704451144348e-03
1.992581019999999990e+04	2.059402078091339211e-10	1.468862853064232350e-03
1.991548461999999927e+04	2.430352253311501241e-10	1.520332876490142291e-03
1.990517007000000012e+04	2.865813699148617212e-10	1.573381259338198918e-03
1.989486652999999933e+04	3.376590141390374932e-10	1.628048289837247514e-03
1.988457398000000103e+04	3.975222249436953918e-10	1.684375018959387337e-03
1.987429239999999845e+04	4.676254715885119104e-10	1.742403266919615541e-03
1.986402178999999887e+04	5.496540703687983666e-10	1.802175511311481914e-03
1.985376210999999967e+04	6.455597121996705754e-10	1.863735240480540040e-03
1.984351335000000108e+04	7.576000607153538673e-10	1.927126556451018219e-03
1.983327549999999974e+04	8.883848011790403600e-10	1.992394346910624555e-03
1.982304853000000003e+04	1.040928347590455274e-09	2.059584423618245237e-03
1.981283242999999857e+04	1.218709145446336566e-09	2.128743272570495036e-03
1.980262718999999925e+04	1.425738057376878676e-09	2.199918180402916489e-03
1.979243277999999918e+04	1.666636554057779041e-09	2.273157384516528469e-03
1.978224918999999863e+04	1.946724370229292710e-09	2.348509798550774477e-03
1.977207640000000174e+04	2.272120754227856636e-09	2.426025226872182989e-03
1.976191439000000173e+04	2.649858642341031489e-09	2.505754299912038140e-03
1.975176314999999886e+04	3.088014046620748014e-09	2.587748395997268788e-03
1.974162266000000091e+04	3.595854075164796507e-09	2.672059801551728703e-03
1.973149290000000110e+04	4.184003601834483046e-09	2.758741639215027148e-03
1.972137385999999969e+04	4.864633635050688949e-09	2.847847781433377346e-03
1.971126551000000109e+04	5.651677226155553959e-09	2.939433115880912481e-03
